name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_40,YXXYx,YYYXyyx,98,176 180 183 184 192 198 203 204 220 233 243 244 274 298 3968 4963 8862 10616 11503 14828 22059 23040 24715 25158 26663 28115 28119 32132 34352 36000 36074 43042 43659 43826 44009 45703 47885 48356 49183 49231 50082 52434 59185 60842 64330 64915 65717 66678 67120 67156 69610 71289 75205 78799 79880 83485 84125 86108 86873 88356 91577 92890 93473 95613 96321 101044 101520 101961 107633 109307 110498 110924 111157 112159 112891 115675 117416 118040 118325 121971 123271 124376 131911 134227 134535 136692 138525 141468 141516 144351 145431 146708 147522 153095 153705 153904 154645 154905,12,2
ac19_41,YYXXYx,YYYXyyx,69,182 194 201 202 222 234 241 242 276 299 1607 4192 6739 8148 13237 14346 16559 16982 22127 23623 28063 28241 35126 35713 36743 39686 40206 40595 46794 51955 52297 52336 55715 61531 62495 63738 63794 65511 68453 69750 70548 74131 74251 74367 75698 81055 85614 90028 91450 94147 98440 100304 102209 111500 112057 113425 122284 123349 131035 133706 135051 135079 138771 139715 143736 144893 145304 155378 156511,13,2
ac19_42,YYXXyx,YXXXyxx,62,187 193 207 208 221 231 247 248 275 296 1290 5880 6428 8881 14313 15308 15633 22147 23052 25616 28740 32276 42071 46394 46910 48665 49789 51284 51717 55249 60996 61538 65488 69524 70375 70457 74150 76695 78241 79356 81525 92446 104348 106433 108044 114176 115188 121677 126006 128689 128757 130268 132194 135657 140253 141759 145824 146682 148883 149822 152038 152127,12,2
ac19_49,YYXXXyX,YXXyxxx,75,216 230 265 266 284 304 991 2141 4640 8538 9842 13292 14985 16554 28360 32576 33092 42178 45372 45434 47466 51323 51875 58742 59503 59646 61558 68157 70282 72334 73740 73975 74565 78818 82705 83997 87997 89795 92388 94029 94116 95860 97420 99389 99765 103733 105024 105446 105597 106461 117627 119658 120157 121110 124737 126199 126303 127272 127790 127856 129287 133638 134071 135060 136813 138102 140730 144461 145699 145950 146193 146360 147956 148045 152786,45,2
ac19_50,YYXXXyx,YXXyxxx,43,217 229 267 268 283 303 3741 5317 7785 9735 10719 32905 37231 37381 38702 40528 42090 43297 52379 54665 57843 59485 64128 64387 67380 68854 69438 71434 75859 81489 88528 89538 103535 107478 111489 118115 120509 120966 139970 140109 140282 145265 145576,14,2
ac19_51,YXXXyxx,YYXXXXyX,50,238 288 1077 2371 4775 5838 8502 9494 9775 15975 16685 19135 19429 29558 31196 36629 37685 45573 46828 55455 57249 60552 63996 64564 66845 67142 70521 77187 80315 83100 84846 89816 90034 94362 95054 100773 107355 110984 117360 119287 120339 120722 131510 133272 137272 140467 140795 142967 146391 148431,38,2
ac19_52,YXXXyxx,YYXXXXyx,28,251 287 7068 8636 10094 14246 22193 26449 30540 30541 37707 46257 48934 68122 85642 87017 87635 88738 94075 112369 113424 121492 122845 131388 133505 134887 143704 156024,12,2
ac19_53,YXXXyxx,YYYXyyXX,7,252 286 35217 85127 123727 142468 146915,41,2
ac19_54,YXXXyxx,YYYXyyxx,8,253 285 12052 32085 34053 53854 82817 147312,15,2
ac19_57,YXXXyxx,YYXXyXXX,26,264 292 4955 6595 21920 22112 36459 46872 50759 60174 60887 61099 62268 63753 74027 77674 83497 93381 104998 106202 130391 137198 138037 144158 148798 156078,18,2
ac19_58,YXXXyxx,YYXXyxxx,31,269 291 7511 11444 15811 16345 19420 22524 23458 26382 27654 33941 39973 54497 60360 66425 71057 71981 74241 80001 95341 96065 99930 108766 113848 125798 127117 136113 145067 149614 153144,16,2
ac19_59,YXXXyxx,YYXyXXXX,31,270 294 1800 2426 14426 27370 28285 37745 44278 47376 68711 69804 78377 81420 92007 107988 110525 110982 112318 116794 120947 121932 129939 130272 133032 138502 140014 141719 145577 154203 154441,12,2
ac19_60,YXXXyxx,YYXyxxxx,28,271 293 8055 15420 16456 17984 19157 21046 22392 25623 33594 39885 48283 53448 68731 71020 73220 79754 87996 92483 102704 103555 117015 130688 137839 140737 142545 154879,9,2
ac19_62,YXXyx,YYYYXyyyx,69,314 316 319 320 324 328 333 334 344 354 362 363 382 398 1344 3027 4105 4790 7191 7205 12617 13734 16693 19804 20490 23610 30360 33818 35284 35532 40374 40909 44964 46734 47188 51422 56920 57904 58274 59637 60526 60690 61928 62274 63405 64791 68014 69135 75985 78924 79046 83995 84940 94845 95949 97594 102894 107569 113248 113285 115938 117227 119990 121732 128859 130682 143046 145686 152708,33,2
ac19_63,YYXXYx,YYYYXyyyx,27,318 326 331 332 346 355 360 361 384 399 2339 11777 14735 41494 51563 56397 58940 69826 78155 94608 97194 104462 108997 124686 135061 139245 151397,12,2
ac19_64,YYXXyx,YXXXXyxxx,27,321 325 335 336 345 353 364 365 383 397 16029 18340 25737 35006 56790 76429 79892 81673 90051 98052 113277 113456 114251 115085 123946 151456 153670,10,2
ac19_65,YYXXYx,YYYYxyyyX,52,322 327 338 339 347 356 369 370 385 404 3176 3604 7015 10388 13526 14683 16150 17449 25644 25882 29764 31040 31341 33826 44784 46562 51404 60881 62783 72934 81087 94544 95601 107208 110244 113240 120123 121551 126133 126518 134009 136496 138547 139223 144326 145616 148223 148693 148777 153061 154157 155893,28,2
ac19_66,YYXXXyX,YXXXXyxxx,41,330 348 359 386 533 534 11132 11563 11566 13648 28148 28724 31243 31290 44811 46104 49472 51362 56305 57172 59290 59683 65149 75571 80316 80466 84888 88577 88673 104038 106286 110014 111442 113486 113852 121422 128681 129742 129962 150884 151883,29,2
ac19_67,YYXXYYx,YYYYXyyyx,20,337 350 367 368 388 401 12311 49442 52536 55390 55524 80483 88440 89126 90934 91783 112750 121895 151463 152148,19,2
ac19_68,YYXXyxx,YXXXXyxxx,18,340 349 371 372 387 400 7145 12438 47529 56419 57040 73406 73779 74755 86394 94052 101790 137512,17,2
ac19_73,YYXXXyxx,YXXXXyxxx,11,373 393 1440 10321 51589 55034 101204 134426 136622 152047 153012,24,2
ac19_76,YYXXXXyx,YXXXyxxxx,32,380 396 1452 4579 9411 11674 12237 14893 17194 29316 40131 43036 47265 51822 53153 58465 61122 73179 86404 92065 95237 95984 107576 109705 111773 114979 115738 117634 124471 129854 131871 140985,29,2
ac19_78,YXXyx,YYYYYXyyyyx,27,412 414 416 417 420 422 424 431 537 541 544 545 551 554 2158 5265 20703 25130 26938 41672 74034 83587 112237 114175 122152 130731 150529,90,2
ac19_79,YYXXyx,YXXXXyxxxxx,43,418 421 427 428 432 436 441 448 548 557 11430 14743 33497 34057 43397 44570 51312 51508 54832 55150 56696 66401 70121 74548 74829 80895 87760 93914 95294 96587 112407 117000 117659 118329 119835 123356 123841 126584 132917 137620 142995 146270 148087,15,2
ac19_80,YYXXYYx,YYYYYXyyyyx,11,425 435 439 451 546 555 26934 85568 115356 142879 148987,25,2
ac19_81,YYXXYx,YYYYYxyyyyX,39,426 433 440 449 535 536 538 542 547 558 865 1055 3353 15728 22482 43056 46358 49867 52045 56923 57234 63017 69349 70268 74577 87452 89519 95060 99110 100117 100337 105040 110804 113325 122721 135625 143318 147028 150680,17,2
ac19_82,YYXXyxx,YXXXXXyxxxx,15,429 434 442 443 450 456 10163 35073 66823 81235 115991 119370 121124 127373 146123,14,2
ac19_83,YYXXXyXX,YXXXXXyxxxx,5,438 453 123885 145772 153714,18,2
ac19_84,YYXXXyxx,YXXXXXyxxxx,4,444 452 20311 63006,18,2
ac19_88,YXXyx,YYYYYYXyyyyyx,20,464 466 559 560 562 564 565 566 569 572 575 576 582 588 18756 42582 80564 95063 95680 130078,580,2
ac19_89,YYXXXyX,YXXXXXXyxxxxx,6,470 475 478 486 574 589,19,2
ac19_90,YYXXXyx,YXXXXXXyxxxxx,6,471 474 479 480 485 490,15,2
ac19_91,YYXXyxx,YXXXXXXyxxxxx,6,472 476 481 482 487 491,27,2
ac19_92,YYXXXyxx,YXXXXXXyxxxxx,2,483 488,18,2
ac19_93,YYXXXyXX,YXXXXXXyxxxxx,2,489 579,19,2
ac19_95,YYXXyxx,YXXXXXXXyxxxxxx,6,503 505 507 508 512 515,51,2
ac19_96,YYXXXyx,YXXXXXXyxxxxxxx,6,509 513 599 601 609 614,36,2
ac19_97,YYXXXyxx,YXXXXXXyxxxxxxx,2,510 514,18,2
ac19_99,YYXXyxx,YXXXXXXXXyxxxxxxx,6,527 529 628 629 630 633,319,2
ac19_100,YYXXXyX,YXXXXyxxxxx,13,539 540 549 550 552 556 50416 79095 113032 117204 124797 128356 131135,87,2
ac19_101,YYXXXXyX,YXXXXXyxxxx,17,543 553 16761 20013 20339 31230 36085 43400 68070 84511 102010 108585 136836 137725 143495 144995 145955,88,2
ac19_102,YYXXyx,YXXXXXXyxxxxx,25,561 563 567 568 570 571 577 578 583 587 11472 11834 14204 21343 24188 35475 49465 50731 73750 75659 86012 100133 106665 138840 147941,140,2
ac19_103,YYXXXXyX,YXXXXXXyxxxxx,9,573 584 27118 45332 45525 82259 113134 138359 151580,138,2
ac19_104,YYXXXyXX,YXXXXXyxxxxxx,2,580 585,28,2
ac19_105,YYXXXXyX,YXXXXXyxxxxxx,6,581 586 60449 71264 98145 132273,395,2
ac19_107,YYXXXyX,YXXXXXXyxxxxxxx,6,598 602 607 608 611 615,36,2
ac19_108,YYXXXyXX,YXXXXXXyxxxxxxx,2,606 612,25,2
ac19_110,YYXXXXyX,YXXXXXXXXyxxxxxxx,2,626 632,29,2
ac19_111,YYXXXXyx,YXXXXXXXXyxxxxxxx,2,627 631,30,2
ac19_113,YXyXXyx,YYYxxxyXyyX,6,635 25772 38420 41490 50383 68259,166,2
ac19_115,YXXyXyX,YYXyxxxYxxyx,2,637 110397,13,2
ac19_116,YXXXXyxxx,YYXyyXyxxx,1,638,7,2
ac19_117,YYXXyxx,YYXXyXyyxx,2,639 55126,7,2
ac19_118,YXXyx,YYYXXYxyyXyX,3,640 123210 154723,40,2
ac19_119,YXXyx,YYYXyxyyxxxYXX,1,641,92,2
ac19_120,YYXXXyxx,YXYxxyXXyxx,1,642,74,2
ac19_122,YYXXX,YXyXXYXyxYxx,5,644 4050 24357 91373 140177,17,2
ac19_123,YXXyx,YYYYXYXyyXyXyx,2,645 55599,10,2
ac19_125,YXXyx,YYYXyyyXXYX,6,647 798 83873 93370 129110 152245,153,2
ac19_126,YYXXX,YYYxxyXXXXXyx,2,648 33986,13,2
ac19_127,YXXyx,YYYXyxyyxyXX,11,649 41271 44314 47824 77304 83991 86540 90043 103351 106205 145896,42,2
ac19_128,YXXyx,YYYXYYxyxyyXyX,3,650 45457 90104,241,2
ac19_129,YXXYx,YYYXYXXXYxYXYx,1,651,10,2
ac19_130,YXYXyx,YYYxxYxyXXyyX,2,652 50815,515,2
ac19_131,YYXXX,YYYXXXXYxyXX,3,653 2745 8030,11,2
ac19_132,YYXXX,YYYXXXYXyyyxxx,1,654,6,2
ac19_133,YYXyXYXyxYXyx,YXyXYxxyXYxyx,1,655,41,2
ac19_134,YYXXYXyyx,YYYXXXYXyyX,4,656 46796 68445 138605,59,2
ac19_136,YXXyx,YYXYYXyxxyyxx,4,658 28663 96979 99985,81,2
ac19_137,YXXyx,YYXXXXyyXXYxx,3,659 25648 146208,12,2
ac19_138,YXYXYXX,YYYxYXyXyXyx,1,660,21,2
ac19_139,YXXyx,YYYXyyyXXXXXyXX,2,661 135375,727,2
ac19_140,YXYXyx,YYXXXyXyxYx,27,662 2128 2268 3597 28168 28868 45652 47357 50306 50964 62334 70484 71535 71728 75510 78918 80775 87422 102810 104934 105175 112557 113482 131950 137680 139449 150989,33,2
ac19_141,YYXXXXXXX,YYXXXXXyxx,4,663 98490 129875 155757,7,2
ac19_143,YYXXyx,YYXyyXXYYxx,2,665 106116,47,2
ac19_144,YXXX,YYXyXyyXYYx,5,666 118634 127011 130940 153402,10,2
ac19_147,YXXYx,YYYXXyyyxYx,6,669 62258 74835 77012 131147 154048,10,2
ac19_149,YXXyx,YYXyXYxYXyyXX,4,671 16583 69711 89587,20,2
ac19_150,YXXyx,YYXyyXyXXYXYX,5,672 8506 18135 30024 134340,215,2
ac19_151,YYXXyx,YYXyXXyXYxyxx,1,673,18,2
ac19_152,YYXXXYx,YYXyxYXyXYx,3,674 83042 99702,16,2
ac19_153,YXXyx,YYYXyxyyxYxx,4,675 27572 50810 83233,90,2
ac19_154,YXXyx,YYXyxxYxyXX,11,676 14690 43522 65129 92796 95771 104959 113298 122201 126926 154896,8,2
ac19_155,YXyXXXyX,YYYXyXyyxYxyX,1,677,17,2
ac19_156,YXXyx,YYYXyxyyXyX,12,678 3851 13859 21182 27641 28466 48130 76570 91813 106379 120888 135216,42,2
ac19_159,YXYxyx,YYYXyxxxx,8,681 3601 7759 99372 112609 138155 144331 144455,41,2
ac19_161,YXXyx,YYXyyXyxxx,10,683 20488 22389 23893 25065 33207 88413 104697 131675 137948,33,2
ac19_162,YXXyx,YYYYXYxyyyyx,15,685 17117 19194 83609 85545 85600 92345 126028 126551 129251 131672 135725 138135 148921 150837,99,2
ac19_163,YYXXXXYX,YYXyXYxyX,4,686 27517 38622 89966,20,2
ac19_164,YYXXXYx,YYxYXXYXX,13,687 4043 13503 39667 48203 48271 68500 108623 109626 115746 141149 143401 149827,95,2
ac19_165,YYXXX,YYXXyyxyxYXyxx,1,688,18,2
ac19_166,YYXXXYx,YYYXyXyx,17,689 14292 27487 30234 42165 49439 59447 67330 68026 70135 108852 111872 112877 115529 127256 149609 155618,29,2
ac19_168,YXYXyx,YYxyXXyxx,27,691 3193 4084 19153 22433 24464 37762 38523 39847 47461 50365 51408 58331 59544 62989 63915 77055 92925 96961 104524 107233 115515 116426 120329 124280 132419 144581,24,2
ac19_169,YXYXX,YYXXXXXyyxxYxx,1,692,15,2
ac19_171,YXXXyXyX,YYxyxxYxxyx,2,694 20007,45,2
ac19_173,YYXXXXX,YYXyXXyyXYYx,1,696,9,2
ac19_174,YYXXyxx,YYYYYXXYxxYX,1,697,14,2
ac19_176,YXXyx,YYXXXXXyxyXyX,3,699 40533 46788,19,2
ac19_177,YXXXXyXYx,YXXyxYXXXX,10,700 32509 34787 60573 73698 99467 105028 107113 122978 155252,95,2
ac19_178,YXXYXXyx,YYXyyxxxxyX,3,701 72941 83977,10,2
ac19_180,YXXyXYx,YYXXyxyxx,5,703 6339 87474 101829 115561,26,2
ac19_181,YXXyx,YYXXXyXyyxyxYx,1,704,30,2
ac19_182,YXXyx,YYYXyxyyXXXYX,5,705 8871 20421 26300 123101,271,2
ac19_183,YYXXyxx,YYYXYYXyx,10,707 22315 65746 67431 75660 80216 83459 101643 103856 134094,78,2
ac19_184,YYXXXYXX,YYYxyyXXX,9,708 8137 66972 68050 79233 88818 90089 107852 111332,39,2
ac19_185,YYXXXyx,YXXXXXYxx,20,709 10265 21266 34872 35848 40921 42396 47221 49437 73185 82256 98631 119693 123085 123726 129302 132448 136886 147088 150025,55,2
ac19_186,YXXYXXyx,YYxxyXXyX,21,710 6311 8733 14386 31530 32448 41485 46633 54464 56727 74214 74788 82533 94802 99003 110689 125072 126765 127429 136484 151659,73,2
ac19_187,YXXXyxYx,YYXXYXXyXYx,2,711 10310,39,2
ac19_188,YXXyx,YYXXYxyXXyX,9,712 1468 25104 46177 49222 77480 80695 83708 142625,18,2
ac19_190,YXYxyx,YYYXyXYxyxYxx,1,714,10,2
ac19_191,YXXyx,YYXyyxYxx,18,715 5307 33150 33335 51950 55205 56817 76307 86072 96748 98544 107157 119318 129391 130210 134117 143679 144664,15,2
ac19_192,YXyXYxx,YYYYXyxx,22,716 1395 7402 10914 11480 14801 16046 28912 30478 30604 35759 68023 71900 75108 85556 92990 101636 128533 141955 144389 153958 155186,46,2
ac19_193,YXXYXXyX,YXXXXXyXYxx,6,717 64525 96618 101148 102800 119085,39,2
ac19_194,YXXyx,YYYXXXXyyXXX,2,718 63684,9,2
ac19_195,YYYXXyX,YYxyXXX,25,719 3398 4387 13478 13651 15098 30996 33466 39592 40506 57623 61341 69504 86071 97954 104201 104620 105261 116299 116382 119619 135562 137967 153869 154181,145,2
ac19_196,YXXXyxYx,YXYXXYXyXYx,3,720 15657 23489,38,2
ac19_198,YXXYx,YYYXyxxyxyyX,5,722 48867 123506 143582 146289,40,2
ac19_199,YXXYx,YYXYxYYxyXyX,6,723 21904 59159 86738 115520 140574,7,2
ac19_200,YXXyx,YYXYxyXXXyXXX,4,724 28161 48498 61303,51,2
ac19_201,YXXYXXyX,YYXXXXXXXyx,3,725 60018 121968,11,2
ac19_202,YXXXyxx,YYXyxYxyxxx,4,726 77026 98803 149949,822,2
ac19_204,YXyXYxx,YYYXYxYXXyx,3,728 101397 101725,20,2
ac19_205,YXXXyXyX,YYXyxxYxxyx,2,729 119754,57,2
ac19_206,YXXXyxx,YYXXyXXXXXXX,4,730 20818 76728 145429,27,2
ac19_207,YXXYx,YYYXXYXYXYYx,4,731 76411 83019 151139,8,2
ac19_209,YXYXX,YYYXyyXyXYxx,3,733 61386 104764,9,2
ac19_210,YXXyXYxxx,YYxxyXYXYX,2,734 12462,22,2
ac19_211,YXXyxYx,YYYxxxYXXXYx,2,735 104124,60,2
ac19_212,YYXXYYXXX,YYXXyyxxYX,4,736 84572 92921 120022,34,2
ac19_213,YXX,YYYXYxYXyyXyyX,2,737 58404,22,2
ac19_214,YYXXYx,YYYXXyx,30,738 1011 2384 3625 4552 12753 20994 22042 29554 32287 41284 44766 47912 49058 60486 80149 86379 91868 98725 98764 104385 108618 111615 120296 121761 132299 135219 137628 144057 154174,14,2
ac19_215,YYXXYx,YYXXYxYXyXYxx,1,739,16,2
ac19_216,YXXyx,YYYYXyXyyX,22,740 2853 7024 10598 25220 29232 35953 41364 42803 45113 46366 51893 59680 70526 87976 95700 105549 115625 132472 140090 141841 144036,29,2
ac19_217,YYXXyx,YYXXYXXYXXYYx,1,742,11,2
ac19_218,YXXyx,YYYYXyxxyyyxYX,21,743 13683 31062 36487 46012 55026 64986 65575 78839 86680 99690 106373 107923 117986 118871 124127 132747 144430 144935 144967 145931,37,2
ac19_219,YYXXYx,YYxyXXXYxyXYx,1,744,14,2
ac19_221,YXXyx,YYXYYxyyxyxxx,6,746 4203 42026 72086 82011 100075,270,2
ac19_222,YXXXyxYx,YYXXyXYxxyX,2,747 97621,24,2
ac19_223,YYXXYx,YYYXYXyXXYxYx,1,748,109,2
ac19_224,YYXXX,YXyXYXyxYx,15,750 5473 8905 10059 23779 30043 37689 39218 40253 40882 55501 97123 98583 104766 108462,15,2
ac19_225,YYXXXXX,YYXXXXyxyXYx,2,751 141047,75,2
ac19_226,YXYXyx,YYXXyXyxxYxyx,10,753 15459 23200 75966 85430 91524 98723 119404 133935 156512,79,2
ac19_227,YXYXyx,YYXyXXyyxxx,5,754 4010 33778 55438 63321,166,2
ac19_228,YXXyxYx,YYXYxYxxyX,5,755 20161 68753 137385 145917,19,2
ac19_229,YYYXXXX,YYXXyXXYx,5,756 72447 76707 98537 126862,12,2
ac19_230,YYXXyxx,YYYXYXYYx,3,757 9687 50211,263,2
ac19_231,YXXyxYx,YYYxxyXXyx,4,758 110375 134465 149671,11,2
ac19_232,YYXXXyx,YYXYXXXXyxx,2,759 7823,16,2
ac19_234,YXyXXYxyx,YYXXyXYxyX,1,761,37,2
ac19_235,YXyXYxx,YYYXYYxyXXyx,1,762,26,2
ac19_236,YXXYx,YYXYYXYxyXyx,8,763 8937 19855 28213 38046 72019 96005 100248,8,2
ac19_237,YXXyXyxx,YYYxyXyxx,3,764 74753 75406,20,2
ac19_238,YXXyx,YYXYYxyXyyxYXyx,1,765,27,2
ac19_240,YXXXyXyx,YYXYxxxyXyx,2,767 41219,61,2
ac19_241,YXXXyxx,YYXyXYXyx,37,768 2781 3832 10539 15814 20795 21127 28084 31599 39179 41608 50238 51594 51962 55967 73423 80138 84357 84673 86237 86460 86491 96319 99590 107152 112426 120166 124126 131762 134969 136079 138357 140638 147843 148459 152484 152512,240,2
ac19_242,YXYXyx,YYXyXyyxyxxYx,2,769 35507,639,2
