name,arm,solved,aut_assisted,nodes_explored,budget,cap
ac19_10115,s40_gen,1,0,7,1000,255
ac19_10116,s40_gen,0,1,13,1000,255
ac19_10117,s40_gen,0,1,22,1000,255
ac19_10118,s40_gen,0,1,48,1000,255
ac19_10119,s40_gen,0,1,30,1000,255
ac19_1012,s40_gen,0,1,8,1000,255
ac19_10120,s40_gen,0,1,40,1000,255
ac19_10121,s40_gen,0,1,39,1000,255
ac19_10122,s40_gen,0,1,80,1000,255
ac19_10123,s40_gen,0,0,1000,1000,255
ac19_10124,s40_gen,0,1,6,1000,255
ac19_10125,s40_gen,0,1,15,1000,255
ac19_10126,s40_gen,0,1,53,1000,255
ac19_10127,s40_gen,0,1,15,1000,255
ac19_10128,s40_gen,0,1,31,1000,255
ac19_10129,s40_gen,0,0,1000,1000,255
ac19_1013,s40_gen,0,1,18,1000,255
ac19_10130,s40_gen,1,0,6,1000,255
ac19_10131,s40_gen,0,1,24,1000,255
ac19_10132,s40_gen,0,1,18,1000,255
ac19_10133,s40_gen,1,0,9,1000,255
ac19_10134,s40_gen,0,1,8,1000,255
ac19_10135,s40_gen,0,1,24,1000,255
ac19_10136,s40_gen,0,1,5,1000,255
ac19_10137,s40_gen,0,1,8,1000,255
ac19_10138,s40_gen,0,1,15,1000,255
ac19_10139,s40_gen,0,1,31,1000,255
ac19_1014,s40_gen,0,1,6,1000,255
ac19_10140,s40_gen,0,1,6,1000,255
ac19_10141,s40_gen,0,1,10,1000,255
ac19_10142,s40_gen,0,1,17,1000,255
ac19_10143,s40_gen,0,1,20,1000,255
ac19_10144,s40_gen,0,1,7,1000,255
ac19_10145,s40_gen,0,1,20,1000,255
ac19_10146,s40_gen,0,0,1000,1000,255
ac19_10147,s40_gen,0,1,24,1000,255
ac19_10148,s40_gen,0,1,15,1000,255
ac19_10149,s40_gen,0,1,22,1000,255
ac19_1015,s40_gen,0,1,18,1000,255
ac19_10150,s40_gen,1,0,8,1000,255
ac19_10151,s40_gen,0,1,7,1000,255
ac19_10152,s40_gen,0,1,7,1000,255
ac19_10153,s40_gen,0,1,15,1000,255
ac19_10154,s40_gen,0,1,12,1000,255
ac19_10155,s40_gen,1,0,12,1000,255
ac19_10156,s40_gen,1,0,6,1000,255
ac19_10157,s40_gen,1,0,12,1000,255
ac19_10158,s40_gen,1,0,9,1000,255
ac19_10159,s40_gen,0,1,137,1000,255
ac19_1016,s40_gen,0,1,43,1000,255
ac19_10160,s40_gen,1,0,8,1000,255
ac19_10161,s40_gen,0,0,1000,1000,255
ac19_10162,s40_gen,0,1,52,1000,255
ac19_10163,s40_gen,0,1,15,1000,255
ac19_10164,s40_gen,0,1,11,1000,255
ac19_10165,s40_gen,0,1,14,1000,255
ac19_10166,s40_gen,0,1,12,1000,255
ac19_10167,s40_gen,0,1,212,1000,255
ac19_10168,s40_gen,0,1,16,1000,255
ac19_10169,s40_gen,0,1,11,1000,255
ac19_1017,s40_gen,1,0,5,1000,255
ac19_10170,s40_gen,0,1,10,1000,255
ac19_10171,s40_gen,0,1,41,1000,255
ac19_10172,s40_gen,0,1,18,1000,255
ac19_10173,s40_gen,0,1,7,1000,255
ac19_10174,s40_gen,0,1,13,1000,255
ac19_10175,s40_gen,1,0,7,1000,255
ac19_10176,s40_gen,0,0,1000,1000,255
ac19_10177,s40_gen,0,1,26,1000,255
ac19_10178,s40_gen,0,1,8,1000,255
ac19_10179,s40_gen,0,1,16,1000,255
ac19_1018,s40_gen,0,1,124,1000,255
ac19_10180,s40_gen,0,1,26,1000,255
ac19_10181,s40_gen,0,1,60,1000,255
ac19_10182,s40_gen,1,0,9,1000,255
ac19_10183,s40_gen,0,1,9,1000,255
ac19_10184,s40_gen,0,1,75,1000,255
ac19_10185,s40_gen,0,1,321,1000,255
ac19_10186,s40_gen,0,1,15,1000,255
ac19_10187,s40_gen,0,1,10,1000,255
ac19_10188,s40_gen,0,1,15,1000,255
ac19_10189,s40_gen,0,1,14,1000,255
ac19_1019,s40_gen,0,1,73,1000,255
ac19_10190,s40_gen,0,1,7,1000,255
ac19_10191,s40_gen,0,1,9,1000,255
ac19_10192,s40_gen,0,1,23,1000,255
ac19_10193,s40_gen,0,1,366,1000,255
ac19_10194,s40_gen,0,1,101,1000,255
ac19_10195,s40_gen,0,1,11,1000,255
ac19_10196,s40_gen,0,1,24,1000,255
ac19_10197,s40_gen,0,1,12,1000,255
ac19_10198,s40_gen,0,1,33,1000,255
ac19_10199,s40_gen,0,1,13,1000,255
ac19_102,s40_gen,0,1,140,1000,255
ac19_1020,s40_gen,0,1,10,1000,255
ac19_10200,s40_gen,0,1,8,1000,255
ac19_10201,s40_gen,0,1,17,1000,255
ac19_10202,s40_gen,0,1,14,1000,255
ac19_10203,s40_gen,0,1,7,1000,255
ac19_10204,s40_gen,0,1,21,1000,255
ac19_10205,s40_gen,0,1,23,1000,255
ac19_10206,s40_gen,0,1,365,1000,255
ac19_10207,s40_gen,1,0,8,1000,255
ac19_10208,s40_gen,0,1,17,1000,255
ac19_10209,s40_gen,1,0,9,1000,255
ac19_1021,s40_gen,0,1,6,1000,255
ac19_10210,s40_gen,0,1,190,1000,255
ac19_10211,s40_gen,0,1,65,1000,255
ac19_10212,s40_gen,0,1,8,1000,255
ac19_10213,s40_gen,1,0,6,1000,255
ac19_10214,s40_gen,1,0,7,1000,255
ac19_10215,s40_gen,0,1,38,1000,255
ac19_10216,s40_gen,0,1,16,1000,255
ac19_10217,s40_gen,1,0,8,1000,255
ac19_10218,s40_gen,0,1,11,1000,255
ac19_10219,s40_gen,0,1,181,1000,255
ac19_1022,s40_gen,0,1,61,1000,255
ac19_10220,s40_gen,0,1,9,1000,255
ac19_10221,s40_gen,0,1,43,1000,255
ac19_10222,s40_gen,0,1,51,1000,255
ac19_10223,s40_gen,1,0,6,1000,255
ac19_10224,s40_gen,0,1,20,1000,255
ac19_10225,s40_gen,0,1,12,1000,255
ac19_10226,s40_gen,0,1,12,1000,255
ac19_10227,s40_gen,0,1,67,1000,255
ac19_10228,s40_gen,0,1,22,1000,255
ac19_10229,s40_gen,0,1,287,1000,255
ac19_1023,s40_gen,0,1,12,1000,255
ac19_10230,s40_gen,0,1,19,1000,255
ac19_10231,s40_gen,1,0,4,1000,255
ac19_10232,s40_gen,0,1,32,1000,255
ac19_10233,s40_gen,0,1,12,1000,255
ac19_10234,s40_gen,0,1,108,1000,255
ac19_10235,s40_gen,0,1,93,1000,255
ac19_10236,s40_gen,0,1,8,1000,255
ac19_10237,s40_gen,0,1,8,1000,255
ac19_10238,s40_gen,0,1,83,1000,255
ac19_10239,s40_gen,0,1,10,1000,255
ac19_1024,s40_gen,0,1,28,1000,255
ac19_10240,s40_gen,0,1,9,1000,255
ac19_10241,s40_gen,0,1,7,1000,255
ac19_10242,s40_gen,0,1,87,1000,255
ac19_10243,s40_gen,0,1,67,1000,255
ac19_10244,s40_gen,0,1,9,1000,255
ac19_10245,s40_gen,0,1,11,1000,255
ac19_10246,s40_gen,0,1,9,1000,255
