representation,preproc,metric,algorithm,k,ari,nmi,bal_acc
ring_autocorr,z,euclidean,complete,6,0.15147181061748785,0.2065941036204618,0.7783714587855513
ring_dual,z+pca10,euclidean,ward,5,0.15138885055979984,0.20917332833580965,0.7751154895085435
shape (control),z-length,cosine,complete,4,0.15134164483407148,0.1881642700681352,0.722741693104024
knots,z,correlation,spectral,5,0.15120473339499518,0.18779154759620212,0.7419435631991986
ring_autocorr,z+pca10,cosine,ward,5,0.15108754860542026,0.19936561423451737,0.7234374130350086
ring_autocorr,z+pca10,euclidean,ward,4,0.15101353429513883,0.1859622100447644,0.7720821506094506
knots,z+pca10,correlation,spectral,3,0.1509844540446516,0.14510399523087006,0.7209884788779429
kmer3,z+pca10,cosine,average,5,0.1509706270332933,0.18062127625014202,0.7706907107474814
kmer3,z+pca10,correlation,average,5,0.1509706270332933,0.18062127625014202,0.7706907107474814
kmer3,z-length,cosine,average,4,0.15087293932116014,0.11752736610060495,0.7130572716647186
kmer2,z,euclidean,kmeans,3,0.15083356657956062,0.1326035462684879,0.725496744030723
kmer2,z,cosine,kmeans,3,0.15083356657956062,0.1326035462684879,0.725496744030723
kmer2,z,correlation,kmeans,3,0.15083356657956062,0.1326035462684879,0.725496744030723
ring_autocorr,z+pca10,cosine,average,5,0.1508147564634346,0.2009994795601529,0.7541604051872878
knots+ring,z+pca10,correlation,complete,4,0.15072902446953715,0.21779718947714122,0.7797628986475205
ring_dual_permsym,z,euclidean,kmeans,3,0.1507054987870628,0.14095509764440983,0.7094673568208383
ring_dual_permsym,z,cosine,kmeans,3,0.1507054987870628,0.14095509764440983,0.7094673568208383
ring_dual_permsym,z,correlation,kmeans,3,0.1507054987870628,0.14095509764440983,0.7094673568208383
knots+ring,z,euclidean,kmeans,4,0.15060283808639324,0.1922802543805285,0.7765069293705126
knots+ring,z,cosine,kmeans,4,0.15060283808639324,0.1922802543805285,0.7765069293705126
knots+ring,z,correlation,kmeans,4,0.15060283808639324,0.1922802543805285,0.7765069293705126
ring_spectrum,z,correlation,ward,6,0.15055343324517578,0.20646963557074,0.7775644236656092
knots,z,correlation,complete,5,0.15027067700638064,0.1643350931505239,0.7637056826403963
whitehead,z,correlation,complete,4,0.14995255998736656,0.16159507167224366,0.7593922190682918
all,z+pca10,correlation,ward,5,0.14991533485733285,0.22242841937552046,0.7635943674514387
shape (control),z,cosine,complete,6,0.1497239059585818,0.16349837017346416,0.7232147826570936
shape (control),z+pca10,cosine,complete,6,0.1497239059585818,0.16349837017346416,0.7232147826570936
shape (control),z+pca10,correlation,complete,6,0.1496670008565531,0.17472239240274914,0.7276395614181554
all,z+pca10,euclidean,kmeans,5,0.14966011109985672,0.22136192295821222,0.7591695886903768
all,z+pca10,cosine,kmeans,5,0.14966011109985672,0.22136192295821222,0.7591695886903768
all,z+pca10,correlation,kmeans,5,0.14966011109985672,0.22136192295821222,0.7591695886903768
ring_spectrum,z,cosine,average,5,0.1496076020612515,0.21765256362489369,0.7775644236656092
ring_spectrum,z,correlation,ward,5,0.1496076020612515,0.2176525636248936,0.7775644236656092
ring_spectrum,z,cosine,ward,4,0.14952117745165566,0.19947829327907007,0.7101630767518228
ring_autocorr,z+pca10,cosine,ward,4,0.1492290982790339,0.17934705850478425,0.7234374130350086
ring_dual,z,cosine,complete,3,0.14912970110615306,0.09141216378441001,0.6863972839093895
knots+ring,z+pca10,euclidean,spectral,5,0.1491137662342064,0.19792405679724465,0.7143652251349697
knots+ring,z,euclidean,spectral,5,0.1490250312726125,0.19775319134525307,0.7143652251349697
ring_spectrum,z-length,euclidean,average,6,0.14888233908231974,0.13703518726737868,0.683614404185451
knots+ring,z,euclidean,ward,5,0.14876262630619597,0.1999866388030174,0.7839650470306674
ring_dual_permsym,z,cosine,single,6,0.1487586896915265,0.13508218637084693,0.7432236878722102
ring_dual,z,euclidean,kmeans,5,0.14875392439780788,0.19674980379461326,0.7099404463739077
ring_dual,z,cosine,kmeans,5,0.14875392439780788,0.19674980379461326,0.7099404463739077
ring_dual,z,correlation,kmeans,5,0.14875392439780788,0.19674980379461326,0.7099404463739077
ring_autocorr,z+pca10,euclidean,kmeans,4,0.14867460371055377,0.17673661921352754,0.7682417765904157
ring_autocorr,z+pca10,cosine,kmeans,4,0.14867460371055377,0.17673661921352754,0.7682417765904157
ring_autocorr,z+pca10,correlation,kmeans,4,0.14867460371055377,0.17673661921352754,0.7682417765904157
kmer3,z+pca10,cosine,average,4,0.14862620054846473,0.17782830928749566,0.7688261813324428
kmer3,z+pca10,correlation,average,4,0.14862620054846473,0.17782830928749566,0.7688261813324428
kmer2,z+pca10,correlation,spectral,2,0.14844511068986757,0.10544067648062996,0.6890688484443702
all,z,euclidean,kmeans,6,0.1482556626087986,0.20675631319918944,0.7364891189402794
all,z,cosine,kmeans,6,0.1482556626087986,0.20675631319918944,0.7364891189402794
all,z,correlation,kmeans,6,0.1482556626087986,0.20675631319918944,0.7364891189402794
ring_spectrum,z-length,euclidean,kmeans,3,0.14810518021674313,0.13186392451274964,0.7153670618355874
ring_spectrum,z-length,cosine,kmeans,3,0.14810518021674313,0.13186392451274964,0.7153670618355874
ring_spectrum,z-length,correlation,kmeans,3,0.14810518021674313,0.13186392451274964,0.7153670618355874
kmer3,z+pca10,correlation,spectral,2,0.14803786318727583,0.10202712393419922,0.6839483497523237
kmer23,z+pca10,cosine,spectral,2,0.14803786318727583,0.10202712393419922,0.6839483497523237
syllable,z,cosine,spectral,2,0.1479128341466126,0.10134493757578315,0.6826682250793121
syllable,z+pca10,cosine,spectral,2,0.1479128341466126,0.10134493757578315,0.6826682250793121
syllable,z+pca10,correlation,spectral,2,0.1479128341466126,0.10134493757578315,0.6826682250793121
knots,z,correlation,average,6,0.1478632465526959,0.2012043867181918,0.7525463349474035
all,z-length,euclidean,complete,6,0.14778118290274744,0.15414279189109167,0.6638281293482495
shape (control),z-length,cosine,complete,3,0.14777774843334027,0.18724339364578596,0.7003951689207992
ring_dual_permsym,z,cosine,average,4,0.1475891425896426,0.1281897344935822,0.7306450715200089
ring_dual_permsym,z+pca10,cosine,ward,4,0.1475891425896426,0.1281897344935822,0.7306450715200089
ring_dual_permsym,z+pca10,cosine,average,4,0.1475891425896426,0.1281897344935822,0.7306450715200089
ring+whitehead+syll,z+pca10,euclidean,kmeans,4,0.14754953309927757,0.18606449874619382,0.7682417765904157
ring+whitehead+syll,z+pca10,cosine,kmeans,4,0.14754953309927757,0.18606449874619382,0.7682417765904157
ring+whitehead+syll,z+pca10,correlation,kmeans,4,0.14754953309927757,0.18606449874619382,0.7682417765904157
knots,z,correlation,ward,4,0.147539769378545,0.15643068884637193,0.7471753770802025
ring_autocorr,z+pca10,cosine,spectral,5,0.14749141004991284,0.19415981203073987,0.7143652251349697
shape (control),z+pca10,euclidean,average,6,0.1474443433895286,0.19142129578795106,0.7326487449212445
knots+ring,z+pca10,euclidean,ward,5,0.1473984601087379,0.19859983847878074,0.7795402682696053
knots+ring,z+pca10,correlation,ward,5,0.1473984601087379,0.19859983847878063,0.7795402682696053
ring_dual,z+pca10,correlation,ward,5,0.1473984601087379,0.19859983847878063,0.7795402682696053
knots+ring,z,euclidean,dbscan_q5,5,0.14738637776591262,0.14540347065442813,0.7038737685757221
ring_spectrum,z+pca10,euclidean,kmeans,5,0.14733371367023013,0.20795436149598012,0.696888740468637
ring_spectrum,z+pca10,cosine,kmeans,5,0.14733371367023013,0.20795436149598012,0.696888740468637
ring_spectrum,z+pca10,correlation,kmeans,5,0.14733371367023013,0.20795436149598012,0.696888740468637
ring_dual_permsym,z+pca10,correlation,average,6,0.14720663469069153,0.15616649072357297,0.7436967774252796
ring+whitehead+syll,z+pca10,correlation,complete,2,0.14696698288137522,0.18340633341292575,0.7261924639617076
kmer4,z+pca10,cosine,ward,3,0.146960528680987,0.12163098177947754,0.7185117159236378
ring_spectrum,z+pca10,euclidean,spectral,3,0.14694577857938712,0.11758190406589944,0.6817498747704125
kmer2,z+pca10,cosine,average,2,0.14677663184054957,0.1895570566562449,0.7274725886347192
syllable,z,correlation,ward,6,0.14668959880500096,0.20931853901416553,0.7560249346023264
kmer2,z+pca10,cosine,average,4,0.14667718792997247,0.15421034481204074,0.7274725886347192
ring+whitehead+syll,z,euclidean,spectral,5,0.14664655357590495,0.1904165372086916,0.7355429398341404
ring_dual_permsym,z-length,euclidean,ward,3,0.14650868355729257,0.11862705181446154,0.6659152891412033
kmer2,z+pca10,euclidean,complete,3,0.14650149012071342,0.1102539860239589,0.6934936272054322
knots+ring,z,cosine,spectral,5,0.14646516090471376,0.19606664088880174,0.7143652251349697
knots+ring,z+pca10,cosine,spectral,5,0.14646516090471376,0.19606664088880174,0.7143652251349697
kmer2,z+pca10,cosine,average,3,0.1464025533249317,0.14341030877213157,0.7274725886347192
ring+whitehead+syll,z,cosine,spectral,5,0.1463326952453656,0.1963393861915112,0.7099404463739077
knots+ring,z,cosine,ward,5,0.1463051645312736,0.19740104857146593,0.7795402682696053
knots+ring,z,correlation,ward,5,0.1463051645312736,0.19740104857146593,0.7795402682696053
knots+ring,z+pca10,cosine,average,5,0.1463021971823109,0.17745296588588264,0.7720821506094506
knots+ring,z+pca10,correlation,average,5,0.1463021971823109,0.17745296588588264,0.7720821506094506
ring_dual,z+pca10,cosine,average,5,0.14627477653016727,0.19427559130939473,0.7797628986475205
ring+whitehead+syll,z+pca10,cosine,average,5,0.14627477653016727,0.19427559130939473,0.7797628986475205
whitehead,z,euclidean,spectral,3,0.1462598413979685,0.15863437892151386,0.691879556965548
whitehead,z+pca10,euclidean,spectral,3,0.1462598413979685,0.15863437892151386,0.691879556965548
kmer2,z+pca10,cosine,spectral,3,0.146241654266499,0.1266873500311463,0.7210719652696611
ring_dual,z,cosine,ward,5,0.14617483630342762,0.22037683850457182,0.7833806422886402
ring_dual,z,correlation,ward,5,0.14617483630342762,0.22037683850457182,0.7833806422886402
ring_spectrum,z+pca10,correlation,spectral,2,0.14614926540077094,0.09826928545255409,0.6698669783491957
ring_spectrum,z+pca10,cosine,average,4,0.14603893498836873,0.1622034444134343,0.7642900873824233
ring_spectrum,z+pca10,correlation,ward,4,0.14603893498836873,0.1622034444134343,0.7642900873824233
ring_dual_sym,z+pca10,euclidean,spectral,3,0.1460074762664985,0.15840601423192002,0.7182890855457227
ring_dual_permsym,z+pca10,euclidean,kmeans,6,0.1458998509990734,0.1713310398122132,0.7436967774252796
ring_dual_permsym,z+pca10,euclidean,ward,6,0.1458998509990734,0.1713310398122133,0.7436967774252796
ring_dual_permsym,z+pca10,cosine,kmeans,6,0.1458998509990734,0.1713310398122132,0.7436967774252796
ring_dual_permsym,z+pca10,correlation,kmeans,6,0.1458998509990734,0.1713310398122132,0.7436967774252796
ring_dual_permsym,z+pca10,correlation,ward,6,0.1458998509990734,0.17133103981221337,0.7436967774252796
knots+ring,z+pca10,cosine,ward,6,0.14578533351702855,0.23127913942426176,0.7795402682696053
kmer3,z+pca10,correlation,complete,4,0.14573491906978417,0.18165419206790204,0.7706907107474814
whitehead,z,cosine,spectral,4,0.14551196826368504,0.1589984171151994,0.701897923971726
whitehead,z+pca10,cosine,spectral,4,0.14551196826368504,0.1589984171151994,0.701897923971726
knots+ring,z+pca10,correlation,spectral,5,0.14545057240864456,0.18911311042443743,0.7577781488284077
ring_dual_permsym,z+pca10,correlation,complete,4,0.14539729749013725,0.15212991122804276,0.7436967774252796
all,z,cosine,spectral,6,0.14538055018147228,0.19054020537443714,0.7688540101296821
ring_autocorr,z,euclidean,spectral,4,0.1453637092559547,0.18311905577926862,0.7726665553514778
whitehead,z,correlation,spectral,4,0.1453468751284416,0.16029014804127326,0.7044581733177493
ring_spectrum,z,euclidean,ward,3,0.14523889366014694,0.1366652726569435,0.7101630767518228
ring_spectrum,z,cosine,average,3,0.14523889366014694,0.1366652726569435,0.7101630767518228
ring_spectrum,z,correlation,ward,3,0.14523889366014694,0.1366652726569435,0.7101630767518228
ring_spectrum,z,correlation,average,3,0.14523889366014694,0.1366652726569435,0.7101630767518228
ring_dual_permsym,z,cosine,average,3,0.14523889366014694,0.1366652726569435,0.7101630767518228
ring_dual_permsym,z,cosine,single,3,0.14523889366014694,0.1366652726569435,0.7101630767518228
ring_dual_permsym,z,cosine,spectral,3,0.14523889366014694,0.1366652726569435,0.7101630767518228
ring_dual_permsym,z+pca10,euclidean,ward,3,0.14523889366014694,0.1366652726569435,0.7101630767518228
ring_dual_permsym,z+pca10,cosine,ward,3,0.14523889366014694,0.1366652726569435,0.7101630767518228
ring_dual_permsym,z+pca10,cosine,average,3,0.14523889366014694,0.1366652726569435,0.7101630767518228
knots,z,euclidean,average,6,0.14521979123190887,0.2035062073372075,0.7081872321478266
knots,z+pca10,euclidean,average,6,0.14521979123190887,0.2035062073372075,0.7081872321478266
knots,z,euclidean,complete,3,0.14513678356097773,0.12299933646229998,0.6607947904491568
knots,z+pca10,euclidean,complete,3,0.14513678356097773,0.12299933646229998,0.6607947904491568
ring_dual_permsym,z+pca10,cosine,complete,3,0.14494420097192406,0.12570840795109034,0.7101630767518228
ring_autocorr,z,cosine,spectral,5,0.14484067450478702,0.1922734046640082,0.7143652251349697
syllable,z,cosine,complete,6,0.1447544352479523,0.21177299750208847,0.7442811821673068
syllable,z+pca10,cosine,complete,6,0.1447544352479523,0.21177299750208847,0.7442811821673068
ring_spectrum,z,euclidean,spectral,3,0.1447308647745074,0.11905632094856383,0.6773250960093504
ring_autocorr,z+pca10,correlation,spectral,5,0.14467393578658932,0.19263372719834118,0.7073801970278845
ring_dual_permsym,z+pca10,correlation,ward,3,0.14464930501349865,0.131413791850831,0.7306450715200089
shape (control),z,euclidean,ward,5,0.14450430135784426,0.19209426525438106,0.722519062726109
shape (control),z+pca10,euclidean,ward,5,0.14450430135784426,0.19209426525438106,0.722519062726109
all,z+pca10,correlation,spectral,5,0.14443229884262804,0.19389679635131132,0.7573050592753381
letters,z,cosine,spectral,3,0.1444275559987399,0.12515632604304266,0.7210719652696611
letters,z,correlation,spectral,3,0.1444275559987399,0.12515632604304266,0.7210719652696611
letters,z+pca10,cosine,spectral,3,0.1444275559987399,0.12515632604304266,0.7210719652696611
knots,z,correlation,complete,6,0.14441557140249284,0.15691496319454892,0.7637056826403963
knots+ring,z+pca10,euclidean,average,5,0.14439895073497858,0.2122074476562121,0.7151722602549118
ring_dual,z+pca10,euclidean,average,5,0.14439895073497858,0.2122074476562121,0.7151722602549118
ring_autocorr,z,euclidean,kmeans,5,0.14438745128476033,0.19143510708331182,0.7029554182668225
ring_autocorr,z,cosine,kmeans,5,0.14438745128476033,0.19143510708331182,0.7029554182668225
ring_autocorr,z,correlation,kmeans,5,0.14438745128476033,0.19143510708331182,0.7029554182668225
kmer3,z+pca10,correlation,complete,5,0.1443836805262243,0.19384571486372668,0.7706907107474814
ring_autocorr,z,euclidean,spectral,5,0.14400998653483607,0.19444282602274965,0.7143652251349697
whitehead,z+pca10,correlation,spectral,5,0.1439968090739206,0.22258878843375327,0.7118049757889464
knots+ring,z+pca10,correlation,average,4,0.14391918356014063,0.19722936216487486,0.7720821506094506
ring_spectrum,z,correlation,complete,3,0.14390655710676956,0.12214847860196294,0.7101630767518228
knots+ring,z+pca10,correlation,ward,4,0.14389160960774708,0.21594884911855858,0.7797628986475205
ring_dual,z+pca10,correlation,ward,4,0.14389160960774708,0.21594884911855858,0.7797628986475205
ring+whitehead+syll,z+pca10,euclidean,spectral,5,0.14378549860525283,0.19339330952959194,0.7298380364000667
ring_autocorr,z-length,correlation,complete,4,0.14347714509079193,0.17752260999504554,0.7281961373629431
syllable,z,cosine,complete,5,0.14340572310492547,0.20507168624108385,0.7442811821673068
syllable,z+pca10,cosine,complete,5,0.14340572310492547,0.20507168624108385,0.7442811821673068
ring_dual_sym,z+pca10,cosine,complete,3,0.1433772135475622,0.13413617908627254,0.721211109255858
ring_autocorr,z+pca10,euclidean,spectral,4,0.14337622737963926,0.18175095402759375,0.7726665553514778
syllable,z+pca10,correlation,complete,6,0.14335458638877302,0.19542995473212066,0.7735014192686592
ring_spectrum,z,euclidean,ward,6,0.1433058581653992,0.24436209340377898,0.7775644236656092
ring_dual,z+pca10,correlation,average,5,0.14329336665017414,0.18170885722912428,0.7718595202315356
ring_dual,z+pca10,cosine,average,6,0.1432332809167594,0.19381556022390992,0.7797628986475205
ring_dual_sym,z+pca10,euclidean,complete,4,0.1432234042797431,0.2127975488594778,0.6858407079646018
ring_dual,z,euclidean,kmeans,4,0.14317513072801089,0.17836762537601897,0.7682417765904157
ring_dual,z,cosine,kmeans,4,0.14317513072801089,0.17836762537601897,0.7682417765904157
ring_dual,z,correlation,kmeans,4,0.14317513072801089,0.17836762537601897,0.7682417765904157
kmer4,z+pca10,euclidean,spectral,3,0.14314281713826618,0.1062153654589798,0.710830967885568
syllable,z,cosine,spectral,6,0.14313908659562982,0.19250483833470783,0.7650971225023655
syllable,z+pca10,cosine,spectral,6,0.14313908659562982,0.19250483833470783,0.7650971225023655
ring+whitehead+syll,z,euclidean,kmeans,4,0.14312685173619755,0.182907453406109,0.7682417765904157
ring+whitehead+syll,z,cosine,kmeans,4,0.14312685173619755,0.182907453406109,0.7682417765904157
ring+whitehead+syll,z,correlation,kmeans,4,0.14312685173619755,0.182907453406109,0.7682417765904157
kmer2,z+pca10,cosine,average,5,0.14307045466358387,0.14499090351843338,0.7274725886347192
ring_dual,z,correlation,average,5,0.14296295480989818,0.218212087169625,0.7833806422886402
ring+whitehead+syll,z,euclidean,kmeans,6,0.14291237854186192,0.20829936215869718,0.7392719986642178
ring+whitehead+syll,z,cosine,kmeans,6,0.14291237854186192,0.20829936215869718,0.7392719986642178
ring+whitehead+syll,z,correlation,kmeans,6,0.14291237854186192,0.20829936215869718,0.7392719986642178
knots,z,correlation,average,5,0.14291173468098112,0.21120561727278916,0.7822118328045862
whitehead,z,cosine,complete,2,0.1427860217439605,0.13139163515739608,0.7076863137975177
whitehead,z+pca10,cosine,complete,2,0.1427860217439605,0.13139163515739608,0.7076863137975177
ring_spectrum,z,cosine,spectral,4,0.14274722949467117,0.1847449387954897,0.7833806422886402
ring_spectrum,z,euclidean,spectral,6,0.1427314044426811,0.16925701247054994,0.7767573885456671
ring_dual_permsym,z+pca10,euclidean,complete,6,0.14267764792860005,0.17662196448128623,0.7195970390159737
ring+whitehead+syll,z+pca10,euclidean,ward,5,0.14265037736063907,0.19695212153859504,0.7795402682696053
ring+whitehead+syll,z+pca10,cosine,ward,5,0.14265037736063907,0.19695212153859495,0.7795402682696053
ring+whitehead+syll,z+pca10,correlation,ward,5,0.14265037736063907,0.19695212153859495,0.7795402682696053
ring_dual_permsym,z,cosine,single,5,0.14259007413937413,0.13006936032213612,0.7229643234819392
shape (control),z,cosine,ward,4,0.14255038370785866,0.15671162376614967,0.6966661100907219
shape (control),z,cosine,average,4,0.14255038370785866,0.15671162376614967,0.6966661100907219
shape (control),z+pca10,cosine,ward,4,0.14255038370785866,0.15671162376614967,0.6966661100907219
shape (control),z+pca10,cosine,average,4,0.14255038370785866,0.15671162376614967,0.6966661100907219
ring_dual,z+pca10,correlation,complete,6,0.14241439974382122,0.19620009290227022,0.7795402682696053
all,z+pca10,cosine,spectral,2,0.14239472922060634,0.09815510051516053,0.6808036956642733
ring_dual,z,cosine,average,6,0.14234739805589236,0.21870468026069334,0.7833806422886402
letters,z-length,euclidean,kmeans,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
letters,z-length,euclidean,spectral,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
letters,z-length,cosine,kmeans,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
letters,z-length,correlation,kmeans,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
kmer3,z,euclidean,spectral,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
kmer3,z,cosine,spectral,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
kmer3,z,correlation,spectral,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
kmer3,z+pca10,euclidean,spectral,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
kmer3,z+pca10,cosine,spectral,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
kmer3,z-length,euclidean,spectral,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
kmer3,z-length,cosine,spectral,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
kmer3,z-length,correlation,spectral,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
kmer23,z,cosine,spectral,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
kmer23,z,correlation,spectral,2,0.14227354246078475,0.09744163657110645,0.6795235709912617
ring_autocorr,z,euclidean,kmeans,4,0.1422512998012274,0.17359511189070034,0.7682417765904157
ring_autocorr,z,cosine,kmeans,4,0.1422512998012274,0.17359511189070034,0.7682417765904157
ring_autocorr,z,correlation,kmeans,4,0.1422512998012274,0.17359511189070034,0.7682417765904157
kmer4,z,euclidean,ward,6,0.14222930191706865,0.15443590158331652,0.7479824122001446
all,z+pca10,correlation,average,5,0.14209772743482502,0.17510409255256743,0.7635943674514387
knots+ring,z,cosine,average,5,0.14207528866955793,0.1932424162645001,0.7797628986475205
knots+ring,z,correlation,average,5,0.14207528866955793,0.1932424162645001,0.7797628986475205
kmer3,z+pca10,euclidean,spectral,3,0.14191201680094356,0.13285280447666017,0.7217676852006456
ring_dual_permsym,z,euclidean,kmeans,6,0.14184406106984007,0.1673617260403831,0.7405521233372294
ring_dual_permsym,z,cosine,kmeans,6,0.14184406106984007,0.1673617260403831,0.7405521233372294
ring_dual_permsym,z,correlation,kmeans,6,0.14184406106984007,0.1673617260403831,0.7405521233372294
knots+ring,z,cosine,complete,5,0.14184101708758026,0.21363966937252096,0.7836032726665554
syllable,z+pca10,correlation,complete,4,0.14179831968012388,0.20542066570557582,0.7126120109088885
kmer23,z,euclidean,ward,3,0.1417548890013753,0.12106882364705814,0.716647186508599
ring_dual_permsym,z,cosine,average,6,0.14175210971272917,0.17276623512530226,0.7107474814938499
whitehead,z,correlation,complete,5,0.14173461389172154,0.15407940036821652,0.7593922190682918
kmer4,z+pca10,cosine,average,4,0.14170899569702677,0.17383378832460836,0.7675460566594312
ring_dual_sym,z,correlation,complete,5,0.14164438195840456,0.17739378881613016,0.7088829520788111
knots+ring,z+pca10,euclidean,average,4,0.1416406946623377,0.2378483348511963,0.6946902654867256
ring_dual,z+pca10,euclidean,average,4,0.1416406946623377,0.2378483348511963,0.6946902654867256
ring_autocorr,z+pca10,correlation,average,6,0.14133227293295755,0.21180492747838955,0.7278621917960706
ring+whitehead+syll,z,euclidean,kmeans,5,0.141314892255949,0.19198269640217955,0.7272777870540436
ring+whitehead+syll,z,cosine,kmeans,5,0.141314892255949,0.19198269640217955,0.7272777870540436
ring+whitehead+syll,z,correlation,kmeans,5,0.141314892255949,0.19198269640217955,0.7272777870540436
knots,z+pca10,correlation,complete,6,0.1412768539552509,0.1663630293780482,0.7633717370735237
ring_dual_permsym,z,euclidean,kmeans,5,0.14127162983274746,0.16620754946943006,0.7306450715200089
ring_dual_permsym,z,cosine,kmeans,5,0.14127162983274746,0.16620754946943006,0.7306450715200089
ring_dual_permsym,z,cosine,average,5,0.14127162983274746,0.16620754946942995,0.7306450715200089
ring_dual_permsym,z,correlation,kmeans,5,0.14127162983274746,0.16620754946943006,0.7306450715200089
ring_dual_permsym,z+pca10,euclidean,kmeans,5,0.14127162983274746,0.16620754946943006,0.7306450715200089
ring_dual_permsym,z+pca10,euclidean,ward,5,0.14127162983274746,0.16620754946942995,0.7306450715200089
ring_dual_permsym,z+pca10,cosine,kmeans,5,0.14127162983274746,0.16620754946943006,0.7306450715200089
ring_dual_permsym,z+pca10,cosine,ward,5,0.14127162983274746,0.16620754946942995,0.7306450715200089
ring_dual_permsym,z+pca10,cosine,average,5,0.14127162983274746,0.16620754946942995,0.7306450715200089
ring_dual_permsym,z+pca10,correlation,kmeans,5,0.14127162983274746,0.16620754946943006,0.7306450715200089
ring_dual_permsym,z+pca10,correlation,ward,5,0.14127162983274746,0.16620754946943006,0.7306450715200089
ring_dual_sym,z-length,cosine,ward,5,0.14125209181931206,0.16760059079651193,0.7638169978293539
ring_dual_permsym,z,cosine,single,4,0.14092868706279654,0.1395795395763812,0.7101630767518228
ring_spectrum,z+pca10,cosine,spectral,6,0.1408118784293318,0.24306490619558765,0.7836032726665554
knots,z+pca10,correlation,average,6,0.14075716081002923,0.16963573697004278,0.755690989035454
syllable,z+pca10,correlation,spectral,6,0.14067643227420332,0.1891481297451038,0.7446151277341794
ring_dual_permsym,z,correlation,single,6,0.14048016483440606,0.12979254830203232,0.7229643234819392
kmer4,z+pca10,correlation,average,4,0.14023787026841594,0.18615754632783507,0.771970835420493
ring+whitehead+syll,z,cosine,average,6,0.1402122790023603,0.22734424929833272,0.7393833138531754
shape (control),z,cosine,ward,5,0.14019983292927143,0.15068746372588881,0.6966661100907219
shape (control),z,cosine,average,5,0.14019983292927143,0.15068746372588881,0.6966661100907219
shape (control),z+pca10,cosine,ward,5,0.14019983292927143,0.15068746372588881,0.6966661100907219
shape (control),z+pca10,cosine,average,5,0.14019983292927143,0.15068746372588881,0.6966661100907219
ring_spectrum,z,cosine,average,6,0.14014214067750067,0.21565883570063682,0.7775644236656092
ring_spectrum,z,correlation,average,6,0.14014214067750067,0.21565883570063682,0.7775644236656092
ring_dual_permsym,z+pca10,correlation,ward,4,0.13987040755567426,0.12467158548647513,0.7306450715200089
ring_dual,z+pca10,correlation,average,4,0.13977759049627103,0.19731207213730123,0.7720821506094506
ring_dual_permsym,z,euclidean,spectral,3,0.13967614541981377,0.13077214352848004,0.7057382979907609
ring_dual_permsym,z+pca10,euclidean,spectral,3,0.13967614541981377,0.13077214352848004,0.7057382979907609
ring_dual_permsym,z+pca10,cosine,spectral,3,0.13967614541981377,0.13077214352848004,0.7057382979907609
ring_dual_permsym,z+pca10,correlation,spectral,3,0.13967614541981377,0.13077214352848004,0.7057382979907609
syllable,z-length,euclidean,complete,5,0.1396016380609076,0.10343440667249455,0.7005899705014749
kmer3,z+pca10,cosine,complete,3,0.13960102682683423,0.17580981476820987,0.7631212778983691
whitehead,z,euclidean,spectral,4,0.13952861106907388,0.1586854364888668,0.7044581733177493
whitehead,z+pca10,euclidean,spectral,4,0.13952861106907388,0.1586854364888668,0.7044581733177493
ring+whitehead+syll,z+pca10,cosine,average,6,0.1394605670415199,0.190714087937552,0.7797628986475205
ring+whitehead+syll,z,correlation,complete,6,0.13940713536018748,0.21469889688736582,0.7675460566594312
syllable,z,correlation,ward,3,0.13935940249550935,0.23324064515036208,0.7037624533867646
knots+ring,z+pca10,euclidean,ward,6,0.13907498952874972,0.22374553905600772,0.7795402682696053
knots+ring,z,correlation,average,6,0.13904013813967422,0.192851443753109,0.7797628986475205
all,z+pca10,correlation,ward,4,0.13903096853925648,0.17344648525752235,0.7638169978293539
ring_spectrum,z,euclidean,ward,4,0.13890903879893549,0.17813012558674038,0.7101630767518228
ring_dual_permsym,z,euclidean,kmeans,4,0.13890903879893549,0.17813012558674038,0.7101630767518228
ring_dual_permsym,z,cosine,kmeans,4,0.13890903879893549,0.17813012558674038,0.7101630767518228
ring_dual_permsym,z,correlation,kmeans,4,0.13890903879893549,0.17813012558674038,0.7101630767518228
ring_dual_permsym,z+pca10,euclidean,kmeans,4,0.13890903879893549,0.17813012558674032,0.7101630767518228
ring_dual_permsym,z+pca10,euclidean,ward,4,0.13890903879893549,0.17813012558674038,0.7101630767518228
ring_dual_permsym,z+pca10,cosine,kmeans,4,0.13890903879893549,0.17813012558674032,0.7101630767518228
ring_dual_permsym,z+pca10,correlation,kmeans,4,0.13890903879893549,0.17813012558674032,0.7101630767518228
