rank,arm,S,MK,F,solved,n,mean_nodes
93,S16_MK8,16.0,8.0,0.0,43,120,387.95348837209303
94,S24_MK4_F8,24.0,4.0,8.0,43,120,392.27906976744185
95,S20_MK4_F4,20.0,4.0,4.0,43,120,392.5348837209302
96,S12_MK8_F2,12.0,8.0,2.0,43,120,395.0232558139535
97,S12_MK10_F2,12.0,10.0,2.0,43,120,412.5581395348837
98,S12_MK6_418_F2,12.0,6.418,2.0,43,120,415.6744186046512
99,S12_MK4,12.0,4.0,0.0,43,120,473.9767441860465
100,S8,8.0,0.0,0.0,43,120,638.9069767441861
101,S28_MK8_F2,28.0,8.0,2.0,42,120,320.04761904761904
102,S24_MK6_418,24.0,6.418,0.0,42,120,358.14285714285717
103,S20_MK6_418_F2,20.0,6.418,2.0,42,120,361.14285714285717
104,S16_MK4_F4,16.0,4.0,4.0,42,120,376.3333333333333
105,S12_MK8,12.0,8.0,0.0,42,120,382.9047619047619
106,S8_MK6_418_F4,8.0,6.418,4.0,42,120,396.6904761904762
107,S8_MK6_418_F8,8.0,6.418,8.0,42,120,401.3333333333333
108,S12_MK6_418,12.0,6.418,0.0,42,120,409.2857142857143
109,S8_MK10_F8,8.0,10.0,8.0,42,120,414.1666666666667
110,S8_MK2_F4,8.0,2.0,4.0,42,120,421.42857142857144
111,S8_MK8_F2,8.0,8.0,2.0,42,120,469.0
112,S12_F2,12.0,0.0,2.0,42,120,469.3809523809524
113,S24_MK8_F2,24.0,8.0,2.0,41,120,317.0243902439024
114,S28_MK6_418_F4,28.0,6.418,4.0,41,120,355.6829268292683
115,S8_MK8_F4,8.0,8.0,4.0,41,120,369.5853658536585
116,S24_MK8_F8,24.0,8.0,8.0,41,120,371.4390243902439
117,S24_MK6_418_F4,24.0,6.418,4.0,41,120,373.0975609756098
118,S28_MK8_F8,28.0,8.0,8.0,41,120,385.5121951219512
119,S28_MK6_418_F8,28.0,6.418,8.0,41,120,390.0487804878049
120,S12_MK4_F8,12.0,4.0,8.0,41,120,397.390243902439
121,S12_MK4_F4,12.0,4.0,4.0,41,120,402.2439024390244
122,S12_MK4_F2,12.0,4.0,2.0,41,120,437.6585365853659
123,S20_F8,20.0,0.0,8.0,41,120,463.0243902439024
124,S8_MK2_F2,8.0,2.0,2.0,41,120,485.0975609756098
125,S24_MK4_F16,24.0,4.0,16.0,41,120,527.390243902439
126,S24_MK6_418_F2,24.0,6.418,2.0,40,120,336.9
127,S28_MK6_418_F2,28.0,6.418,2.0,40,120,344.3
128,S20_MK6_418_F4,20.0,6.418,4.0,40,120,353.375
129,S24_MK6_418_F8,24.0,6.418,8.0,40,120,368.8
130,S20_MK6_418_F8,20.0,6.418,8.0,40,120,376.575
131,S12_MK2_F8,12.0,2.0,8.0,40,120,409.65
132,S8_MK4_F8,8.0,4.0,8.0,40,120,421.25
133,S16_MK4_F8,16.0,4.0,8.0,40,120,421.475
134,S24_F8,24.0,0.0,8.0,40,120,431.425
135,S12_F4,12.0,0.0,4.0,40,120,440.175
136,S16_MK10_F16,16.0,10.0,16.0,40,120,447.425
137,S8_MK6_418_F2,8.0,6.418,2.0,40,120,449.375
138,S8_MK8_F16,8.0,8.0,16.0,40,120,527.9
139,S4_MK8_F2,4.0,8.0,2.0,40,120,560.25
140,S8_MK8_F8,8.0,8.0,8.0,39,120,362.2564102564103
141,S4_MK8_F4,4.0,8.0,4.0,39,120,459.84615384615387
142,S24_MK10_F16,24.0,10.0,16.0,39,120,474.0769230769231
143,S20_MK10_F16,20.0,10.0,16.0,39,120,476.53846153846155
144,S20_MK2_F16,20.0,2.0,16.0,39,120,539.1794871794872
145,S16_F8,16.0,0.0,8.0,38,120,448.07894736842104
146,S28_MK4_F16,28.0,4.0,16.0,38,120,484.8421052631579
147,S12_MK10_F16,12.0,10.0,16.0,38,120,490.55263157894734
148,S4_MK10_F4,4.0,10.0,4.0,38,120,493.39473684210526
149,S20_MK4_F16,20.0,4.0,16.0,38,120,527.2631578947369
150,S4_MK6_418_F2,4.0,6.418,2.0,38,120,533.078947368421
151,S4_MK10_F2,4.0,10.0,2.0,38,120,561.7894736842105
152,S8_MK2_F8,8.0,2.0,8.0,37,120,382.05405405405406
153,S4_MK8_F8,4.0,8.0,8.0,37,120,396.7567567567568
154,S12_MK8_F16,12.0,8.0,16.0,37,120,438.94594594594594
155,S16_MK8_F16,16.0,8.0,16.0,37,120,441.7837837837838
156,S8_MK4_F2,8.0,4.0,2.0,37,120,443.0
157,S8_MK10_F16,8.0,10.0,16.0,37,120,533.4594594594595
158,S8_MK4_F4,8.0,4.0,4.0,36,120,349.0833333333333
159,S4_MK10_F8,4.0,10.0,8.0,36,120,406.0833333333333
160,S4_MK2_F4,4.0,2.0,4.0,36,120,436.27777777777777
161,S12_F8,12.0,0.0,8.0,36,120,465.8333333333333
162,S8_MK6_418,8.0,6.418,0.0,36,120,466.1111111111111
163,S8_MK4,8.0,4.0,0.0,36,120,474.25
164,S8_F2,8.0,0.0,2.0,36,120,475.3611111111111
165,S28_MK10_F16,28.0,10.0,16.0,36,120,478.25
166,S12_MK6_418_F16,12.0,6.418,16.0,36,120,486.8888888888889
167,S16_MK6_418_F16,16.0,6.418,16.0,36,120,492.1388888888889
168,S8_MK6_418_F16,8.0,6.418,16.0,36,120,503.30555555555554
169,S4_MK6_418_F4,4.0,6.418,4.0,35,120,400.8
170,S4_F8,4.0,0.0,8.0,35,120,471.8
171,S20_MK6_418_F16,20.0,6.418,16.0,35,120,476.9428571428571
172,S8_F4,8.0,0.0,4.0,34,120,376.8235294117647
173,S4_MK4_F8,4.0,4.0,8.0,34,120,389.6764705882353
174,S4_F4,4.0,0.0,4.0,34,120,413.1470588235294
175,S16_MK2_F16,16.0,2.0,16.0,34,120,547.4411764705883
176,S4_MK8_F16,4.0,8.0,16.0,34,120,590.0588235294117
177,S4_MK6_418_F8,4.0,6.418,8.0,33,120,342.72727272727275
178,S20_MK8_F16,20.0,8.0,16.0,33,120,369.8787878787879
179,S24_F16,24.0,0.0,16.0,33,120,457.8787878787879
180,S8_F8,8.0,0.0,8.0,33,120,461.030303030303
181,S28_F16,28.0,0.0,16.0,33,120,466.90909090909093
182,S4_MK4_F2,4.0,4.0,2.0,33,120,490.90909090909093
183,S4_MK2_F2,4.0,2.0,2.0,33,120,547.4848484848485
184,S4_F2,4.0,0.0,2.0,33,120,603.2424242424242
185,S4_MK6_418,4.0,6.418,0.0,33,120,640.5151515151515
186,S4_MK2_F8,4.0,2.0,8.0,32,120,351.53125
187,S24_MK8_F16,24.0,8.0,16.0,32,120,359.125
188,S24_MK6_418_F16,24.0,6.418,16.0,32,120,433.59375
189,S4_MK6_418_F16,4.0,6.418,16.0,32,120,558.84375
190,S4_MK10_F16,4.0,10.0,16.0,32,120,608.75
191,S4_MK8,4.0,8.0,0.0,32,120,632.21875
192,MK6_418_F8,0.0,6.418,8.0,31,120,471.06451612903226
193,MK8_F8,0.0,8.0,8.0,31,120,489.80645161290323
194,MK10_F8,0.0,10.0,8.0,31,120,509.38709677419354
195,S4_MK10,4.0,10.0,0.0,31,120,636.1612903225806
196,S4_MK4,4.0,4.0,0.0,31,120,652.0
197,S4_MK2,4.0,2.0,0.0,31,120,753.1290322580645
198,S4_MK4_F4,4.0,4.0,4.0,30,120,317.8666666666667
199,S28_MK8_F16,28.0,8.0,16.0,30,120,343.26666666666665
200,S28_MK6_418_F16,28.0,6.418,16.0,30,120,409.8666666666667
201,F4,0.0,0.0,4.0,30,120,513.3
202,S12_MK2_F16,12.0,2.0,16.0,30,120,532.0
203,S20_F16,20.0,0.0,16.0,29,120,367.82758620689657
204,S16_MK4_F16,16.0,4.0,16.0,29,120,427.6896551724138
205,S8_MK2_F16,8.0,2.0,16.0,29,120,471.2068965517241
206,F8,0.0,0.0,8.0,29,120,500.37931034482756
207,S16_F16,16.0,0.0,16.0,28,120,396.9642857142857
208,MK2_F8,0.0,2.0,8.0,28,120,432.7142857142857
209,MK4_F8,0.0,4.0,8.0,27,120,413.6296296296296
210,S12_F16,12.0,0.0,16.0,27,120,432.74074074074076
211,MK8_F4,0.0,8.0,4.0,27,120,446.2962962962963
212,MK6_418_F4,0.0,6.418,4.0,27,120,449.8888888888889
213,MK2_F4,0.0,2.0,4.0,27,120,477.3333333333333
214,MK10_F4,0.0,10.0,4.0,27,120,478.5925925925926
215,S4_MK4_F16,4.0,4.0,16.0,27,120,548.4814814814815
216,S12_MK4_F16,12.0,4.0,16.0,26,120,471.61538461538464
217,S4_MK2_F16,4.0,2.0,16.0,26,120,534.3846153846154
218,MK4_F4,0.0,4.0,4.0,25,120,424.6
219,S8_MK4_F16,8.0,4.0,16.0,25,120,488.44
220,S8_F16,8.0,0.0,16.0,23,120,371.6521739130435
221,F16,0.0,0.0,16.0,23,120,430.39130434782606
222,S4_F16,4.0,0.0,16.0,21,120,359.0952380952381
223,MK2_F16,0.0,2.0,16.0,20,120,532.35
224,MK4_F16,0.0,4.0,16.0,17,120,489.11764705882354
225,MK6_418_F2,0.0,6.418,2.0,17,120,534.4705882352941
226,S4,4.0,0.0,0.0,17,120,707.7058823529412
227,MK6_418,0.0,6.418,0.0,16,120,470.3125
228,MK8,0.0,8.0,0.0,16,120,471.3125
229,MK10,0.0,10.0,0.0,16,120,485.875
230,MK8_F2,0.0,8.0,2.0,16,120,497.25
231,MK10_F2,0.0,10.0,2.0,16,120,510.3125
232,MK8_F16,0.0,8.0,16.0,16,120,539.9375
233,MK6_418_F16,0.0,6.418,16.0,16,120,544.3125
234,MK2_F2,0.0,2.0,2.0,16,120,707.6875
235,MK4_F2,0.0,4.0,2.0,15,120,552.1333333333333
236,F2,0.0,0.0,2.0,15,120,674.0
237,MK4,0.0,4.0,0.0,14,120,491.5
238,MK10_F16,0.0,10.0,16.0,13,120,533.1538461538462
239,MK2,0.0,2.0,0.0,10,120,662.3
240,length,0.0,0.0,0.0,0,120,
