name,archival_initial_length,saved_rank2_length,previous_any_rank_length,best_any_rank_length,best_rank,new_gain,rank_reduction,solved,best_words,certificate_kind,witness_pointer
aca_91,23,23,19,19,3,0,0,False,"(ZYYY, XXXyxYxY, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/91
aca_92,23,23,19,19,3,0,0,False,"(ZYYY, XYxxxYXy, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/92
aca_93,23,23,19,19,3,0,0,False,"(ZYYY, XXXyxYxY, XYzzxZZ)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/93
aca_94,23,23,19,19,3,0,0,False,"(ZYYY, XXXYxYxY, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/94
aca_95,21,19,18,18,3,0,0,False,"(ZXY, XXXZxYY, YxZyzxyz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/95
aca_96,23,23,19,19,3,0,0,False,"(ZYYY, XXYxxyXY, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/96
aca_97,24,19,18,18,3,0,0,False,"(ZYY, XXyxYxY, XZxxYzzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/97
aca_98,24,19,18,18,3,0,0,False,"(ZYY, XYxxYXy, XXzxYzzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/98
aca_99,25,19,18,18,3,0,0,False,"(ZXy, XzxxYY, XYYZyzxyz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/99
aca_100,25,20,18,18,3,0,0,False,"(ZXYx, XXXZxYY, XYYZyzy)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/100
aca_101,25,25,21,21,3,0,0,False,"(YYYYYYYz, XZxzy, XXXYxYxY)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/101
aca_102,25,25,21,20,3,1,0,False,"(UUXuuxy, Uyyyy, YXXXyxYx)",theorem_backed_stable_composite,observed_remainder.json#/rows/100/best_witness
aca_103,25,25,21,20,3,1,0,False,"(UUXuYux, Uyyyy, YXyXYxxx)",theorem_backed_stable_composite,observed_remainder.json#/rows/101/best_witness
aca_104,25,25,21,20,3,1,0,False,"(UUXuYux, Uyyyy, YXXXyxYx)",theorem_backed_stable_composite,observed_remainder.json#/rows/102/best_witness
aca_105,25,21,19,19,3,0,0,False,"(ZXYx, XXXZxxYY, XyZYZYY)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/105
aca_106,25,21,20,20,3,0,0,False,"(XYxyZ, XYZyz, XXXXyXXXYY)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/106
aca_107,25,22,20,20,3,0,0,False,"(ZXXy, XZxYz, XXXZYYYYYYY)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/107
aca_108,25,24,21,21,3,0,1,False,"(ZYXYx, ZYzxZX, ZyXyyyyyyy)",theorem_backed_stable_composite,observed_remainder.json#/rows/106/best_witness
aca_109,25,23,20,20,4,0,0,False,"(UYY, YxxZ, XuZxzy, XXXzuuu)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/109
aca_110,25,22,20,20,3,0,0,False,"(ZXXy, XzxZY, YYYYYYYzxxx)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/110
aca_111,25,24,21,21,4,0,0,False,"(UYY, XZxY, XYxZyzY, UxYuuuZ)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/111
aca_112,25,24,21,21,3,0,1,False,"(ZYXyyyyyyy, ZYzxzX, ZyXYx)",theorem_backed_stable_composite,observed_remainder.json#/rows/110/best_witness
aca_113,25,23,20,20,3,0,1,False,"(UUYXuux, UUXXyxxx, UYYYY)",theorem_backed_stable_composite,observed_remainder.json#/rows/111/best_witness
aca_114,25,23,20,20,3,0,1,False,"(UUXXXYxx, UUXuuxY, UYYYY)",theorem_backed_stable_composite,observed_remainder.json#/rows/112/best_witness
aca_115,13,13,13,13,2,0,0,False,"(YXYxyx, YYYYxxx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/115
aca_116,14,14,14,14,2,0,0,False,"(YYYXyyX, YXXXyxx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/116
aca_117,14,14,14,14,2,0,0,False,"(YYYXyyx, YXXXyxx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/117
aca_118,15,15,15,15,2,0,0,False,"(YXXyxYx, YYYYXyxx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/118
aca_119,16,16,16,16,2,0,0,False,"(YXXyxYx, YYYYYXyxx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/119
aca_120,16,15,15,15,2,0,0,False,"(YXXyxYx, YYYXyyxx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/120
aca_121,16,15,15,15,2,0,0,False,"(YXyXYxx, YYYXXYYx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/121
aca_122,18,16,16,16,2,0,0,False,"(YXyXYxx, YYYYXXYYx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/122
aca_123,20,17,17,17,2,0,0,False,"(YXyXYxx, YYYYYXXYYx)",identity_at_saved_start,../theory_patterns_20260912/u124_final_table.json#/rows/123
