name,r1,r2,n_members,members,failed_arms,n_failed_arms,in_complete_10k,missing_arms_10k,baseline_solved,baseline_nodes,baseline_minL,s20_mk2_solved,s20_mk2_nodes,s20_mk2_minL,s20_mk2_mK2_solved,s20_mk2_mK2_nodes,s20_mk2_mK2_minL,s20_f4_solved,s20_f4_nodes,s20_f4_minL
ac19_16358,YXyXXyx,YYYxyxYxxyxyXYX,1,21163,"baseline,s20_mk2,s20_mk2_mK2",3,true,,false,10000,17,false,10000,17,false,10000,16,true,7532,2
ac19_16371,YXXXYxx,YYYXYYXXyxxYX,3,21184 21540 54546,"baseline,s20_mk2_mK2",2,true,,false,10000,17,true,2197,2,false,10000,17,true,6792,2
ac19_16430,YXXXyxYx,YXYXyXXYxxYXX,2,21269 115976,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,17,true,5814,2,false,10000,19,false,10000,19
ac19_16513,YXXYx,YYYXYYXyyyxxYX,2,21398 135294,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,18,true,3009,2,false,10000,18,false,10000,18
ac19_1660,YXyXXXyx,YYYxxxyXyxx,1,2253,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,17,false,10000,17,false,10000,17,false,10000,17
ac19_16631,YYXXXYX,YYYXXyxYXyX,2,21550 84630,"baseline,s20_mk2_mK2",2,true,,false,10000,15,true,3879,2,false,10000,15,true,2985,2
ac19_16660,YXXXyXYx,YYXXyXYxxxyXX,1,21605,baseline,1,true,,false,10000,15,true,1839,2,true,3910,2,true,2779,2
ac19_1670,YYXXyxx,YYxYxyX,26,2263 22554 24328 28457 39429 42855 50372 62180 64140 67298 75687 78196 80979 83179 92412 92982 94496 107962 111977 124099 125591 137290 139252 142594 149866 153323,s20_f4,1,false,baseline,missing,,,true,2813,2,true,5595,2,false,10000,14
ac19_16808,YYXXXXyXX,YXXXXXyxxxxxx,9,21830 22514 28325 46608 86985 107632 109670 118474 125468,"baseline,s20_f4",2,true,,false,10000,16,true,1779,2,true,4234,2,false,10000,15
ac19_16877,YXYXXXX,YYXyXyyXYXYx,1,21936,s20_mk2_mK2,1,true,,true,4349,2,true,509,2,false,10000,15,true,24,2
ac19_16980,YYXXYxYXXYx,YYYXXYxYXyyxxyX,4,22106 25497 52928 96446,s20_f4,1,true,,true,8581,2,true,1769,2,true,4207,2,false,10000,14
ac19_17027,YYXXYx,YYXYxxxyXXX,4,22172 37046 75613 121036,baseline,1,true,,false,10000,15,true,729,2,true,2570,2,true,2688,2
ac19_17065,YYXXyxx,YYYYYYXYXYx,7,22225 35163 39350 59011 96161 116117 143725,s20_f4,1,true,,true,5132,2,true,416,2,true,358,2,false,10000,14
ac19_17131,YYXXXyX,YYYXyyXX,5,22329 33833 68779 76688 117662,"baseline,s20_f4",2,true,,false,10000,15,true,2872,2,true,3944,2,false,10000,15
ac19_1715,YXXXYxx,YYYXYXXyxyyxx,3,2310 35889 112355,"baseline,s20_mk2_mK2",2,true,,false,10000,17,true,2215,2,false,10000,17,true,6792,2
ac19_17156,YYYXXYXyX,YYXXYYXXX,6,22368 47315 61085 99700 122212 139109,s20_f4,1,false,baseline,missing,,,true,404,2,true,161,2,false,10000,17
ac19_17204,YXXXyxYx,YXYxyXXYxyX,2,22437 121118,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,17,false,10000,17,false,10000,17,false,10000,17
