pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,bmax_w1_solved,bmax_w1_nodes,bmax_w1_path,bmax_w2_solved,bmax_w2_nodes,bmax_w2_path,bmax_w3_solved,bmax_w3_nodes,bmax_w3_path,bmax_w4_solved,bmax_w4_nodes,bmax_w4_path,bmax_w6_solved,bmax_w6_nodes,bmax_w6_path,bmax_w8_solved,bmax_w8_nodes,bmax_w8_path,bmax_w10_solved,bmax_w10_nodes,bmax_w10_path,bmax_w12_solved,bmax_w12_nodes,bmax_w12_path,bmax_w16_solved,bmax_w16_nodes,bmax_w16_path
573,6,YYYYYYXyyyyyx,YYYYXYxx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
575,6,YYYYYYXyyyyyx,YYYxyXYx,False,1000,,True,422,102,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
578,7,YYYYYYXyyyyyx,YYXYYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
579,3,YYYYYYXyyyyyx,YYYXYYxx,True,366,26,True,101,25,true,237,28,true,369,28,true,710,27,false,1000,,true,738,43,false,1000,,false,1000,,false,1000,,false,1000,
580,4,YYYYYYXyyyyyx,YYYxxYYX,True,875,47,True,252,42,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
581,6,YYYYYYXyyyyyx,YYYYxxYX,False,1000,,True,385,99,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
583,7,YYYYYYXyyyyyx,YYXyxYYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
586,6,YYYYYYXyyyyyx,YYYYxYXX,False,1000,,True,388,99,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
589,4,YYYYYYXyyyyyx,YYYXYXYx,True,558,46,True,575,38,true,143,40,true,141,40,true,129,32,true,137,36,true,149,36,true,158,38,true,204,40,true,255,42,true,302,48
596,7,YYYYYYYXyyyyyyx,YYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
602,6,YYYYYYYXyyyyyyx,YYYxYXX,False,1000,,True,824,52,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
605,8,YYYYYYYXyyyyyyx,YYYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
606,5,YYYYYYYXyyyyyyx,YYYxxYYX,False,1000,,True,829,45,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
609,4,YYYYYYYXyyyyyyx,YYYxYxyX,False,1000,,True,821,45,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
610,8,YYYYYYYXyyyyyyx,YYYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
622,8,YYYYYYYYXyyyyyyyx,YYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
623,8,YYYYYYYYXyyyyyyyx,YYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
