pres_id,bin,aut_class,start_length,r1,r2,cov_r1,cov_r2,cov_z,b1k_greedy_solved,b1k_covgreedy_solved,cov_helped_b1k,outcome,L_orig,L_cov,d_L,K_orig,K_cov,d_K,MK_orig,MK_cov,d_MK,S_orig,S_cov,d_S,xyimb_orig,xyimb_cov,d_xyimb,prio_orig,prio_cov,d_prio
0,0,0,7,YYXyx,Yx,Xyx,YXyxYx,Yxy,true,true,false,already_solved,7.0,9.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.14285714285714285,0.1111111111111111,-0.031746031746031744,36.354285714285716,47.19777777777778,10.843492063492064
43,1,7,12,YYXyx,YYxYxYX,XXXYxyx,YxxyxYXX,xyX,true,true,false,already_solved,12.0,15.0,3.0,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,52.910666666666664,56.45933333333333,3.5486666666666693
48,1,13,12,YYYxxYX,YYXyx,XXYYXy,YXXyx,Xy,true,true,false,already_solved,12.0,11.0,-1.0,4.0,4.0,0.0,2.0,2.0,0.0,1.25,1.25,0.0,0.16666666666666666,0.09090909090909091,-0.07575757575757575,46.07716666666666,44.82777272727272,-1.24939393939394
77,1,25,13,YYXyx,YXyXXyxx,XyXXyxxYxx,YXXyx,Xy,true,true,false,already_solved,13.0,15.0,2.0,5.0,5.0,0.0,3.0,3.0,0.0,1.2,1.0,-0.19999999999999996,0.07692307692307693,0.3333333333333333,0.2564102564102564,55.30683076923077,56.45933333333333,1.1525025641025621
141,1,46,13,YYXyx,YXyXyxxx,xYxxxyXXyXX,YxyXX,yx,true,true,false,already_solved,13.0,16.0,3.0,5.0,5.0,0.0,3.0,3.0,0.0,1.2,1.0,-0.19999999999999996,0.07692307692307693,0.375,0.2980769230769231,55.30683076923077,57.5965,2.2896692307692277
155,1,31,13,YYYYxyXX,YYXyx,XXYxy,YXXXXyxYxxxx,xyX,true,true,false,already_solved,13.0,17.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,1.25,1.0,-0.25,0.23076923076923078,0.4117647058823529,0.18099547511312214,47.288192307692306,58.71752941176471,11.429337104072403
201,2,19,14,YYYXyyx,YYXYxYx,XXXXXYxxyxx,YXXYxyxx,Xyx,true,true,false,already_solved,14.0,19.0,5.0,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.2857142857142857,0.47368421052631576,0.18796992481203006,55.302571428571426,60.921368421052634,5.618796992481208
203,3,10,14,YYYXyyx,YYxYXYx,YXXXXyXYxxx,YXXXyxx,Xyy,true,true,false,already_solved,14.0,18.0,4.0,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.2857142857142857,0.4444444444444444,0.15873015873015872,55.302571428571426,59.82511111111111,4.522539682539687
217,2,51,14,YYYXyyx,YYYxxyX,XYYxy,YXXXyxx,Xyy,true,true,false,already_solved,14.0,12.0,-2.0,4.0,4.0,0.0,2.0,2.0,0.0,1.25,1.25,0.0,0.2857142857142857,0.16666666666666666,-0.11904761904761904,48.469071428571425,46.07716666666666,-2.3919047619047618
228,0,52,14,YYYXyyx,YYXXYYx,xYXXX,YxxyXXX,yyx,true,true,false,already_solved,14.0,12.0,-2.0,4.0,3.0,-1.0,2.0,2.0,0.0,1.25,1.0,-0.25,0.2857142857142857,0.5,0.2142857142857143,48.469071428571425,42.53,-5.939071428571424
247,2,23,15,YYYXyyx,YYXyyXyx,XXXXXyxxYxx,YXXyyx,XyyXy,true,true,false,already_solved,15.0,17.0,2.0,5.0,4.0,-1.0,3.0,2.0,-1.0,1.0,1.25,0.25,0.3333333333333333,0.4117647058823529,0.0784313725490196,56.45933333333333,51.88402941176471,-4.575303921568626
265,3,49,15,YYYXyyx,YYYxYxYX,XXXXYxxyx,YxxxyxYXXX,xyX,true,true,false,already_solved,15.0,19.0,4.0,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.47368421052631576,0.14035087719298245,56.45933333333333,60.921368421052634,4.4620350877193005
288,2,55,15,YYYYXXYx,YYYXyyx,xyxxYXXXX,YxxxxyxYXXXX,Xyx,true,true,false,already_solved,15.0,21.0,6.0,4.0,5.0,1.0,2.0,3.0,1.0,1.25,1.0,-0.25,0.3333333333333333,0.5238095238095238,0.19047619047619052,49.62583333333333,63.08638095238095,13.460547619047617
323,0,2,15,YYYYYx,YYYYXyyyx,XXY,YXXXXyxxx,Xyyy,true,true,false,already_solved,15.0,12.0,-3.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.6,0.5,-0.09999999999999998,45.8592,42.53,-3.3292
327,3,66,15,YYYYXyyyx,YYxYXX,XXyXYxxxxY,YxxxyXXXX,yyyx,true,true,false,already_solved,15.0,19.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,1.25,1.0,-0.25,0.3333333333333333,0.47368421052631576,0.14035087719298245,49.62583333333333,60.921368421052634,11.295535087719301
331,2,65,16,YYYYXyyyx,YYXYxYx,XXXXXXYxxxyxx,YXXYxyxx,Xyx,true,true,false,already_solved,16.0,21.0,5.0,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.375,0.5238095238095238,0.14880952380952384,57.5965,63.08638095238095,5.48988095238095
