pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,kden_w10_solved,kden_w10_nodes,kden_w10_path,kden_w40_solved,kden_w40_nodes,kden_w40_path,kden_w80_solved,kden_w80_nodes,kden_w80_path,kden_w160_solved,kden_w160_nodes,kden_w160_path
625,8,YYYYYYYYXyyyyyyyx,YYXYxyX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,
628,7,YYYYYYYYXyyyyyyyx,YYXyXyyx,False,1000,,True,106,36,false,1000,,false,1000,,true,98,36,false,1000,
632,6,YYYYYYYYXyyyyyyyx,YYYYXXYx,False,1000,,True,831,57,false,1000,,false,1000,,false,1000,,false,1000,
633,7,YYYYYYYYXyyyyyyyx,YYXyyxyx,False,1000,,True,107,36,false,1000,,false,1000,,true,96,36,false,1000,
634,9,YYYYYYYXyyyyyyx,YYYXyyxx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,
635,9,YYYYYYYXyyyyyyx,YYYXXyyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,
636,9,YYYYYYYYXyyyyyyyx,YYYXYxyX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,
637,9,YYYYYYYYXyyyyyyyx,YYYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,
638,9,YYYYYYYYXyyyyyyyx,YYYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,
639,9,YYYYYYYYXyyyyyyyx,YYYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,
