pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,kden_w5_solved,kden_w5_nodes,kden_w5_path,kden_w10_solved,kden_w10_nodes,kden_w10_path,kden_w20_solved,kden_w20_nodes,kden_w20_path,kden_w40_solved,kden_w40_nodes,kden_w40_path,kden_w80_solved,kden_w80_nodes,kden_w80_path,k_w0_5_solved,k_w0_5_nodes,k_w0_5_path,k_w1_solved,k_w1_nodes,k_w1_path,k_w2_solved,k_w2_nodes,k_w2_path,k_w2_53_solved,k_w2_53_nodes,k_w2_53_path,k_w5_solved,k_w5_nodes,k_w5_path,k_w8_solved,k_w8_nodes,k_w8_path,k_w10_solved,k_w10_nodes,k_w10_path,k_w16_solved,k_w16_nodes,k_w16_path
573,6,YYYYYYXyyyyyx,YYYYXYxx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
575,6,YYYYYYXyyyyyx,YYYxyXYx,False,1000,,True,422,102,false,1000,,false,1000,,false,1000,,false,1000,,true,521,94,false,1000,,false,1000,,false,1000,,false,1000,,true,920,118,true,597,90,true,577,90,true,598,90
578,7,YYYYYYXyyyyyx,YYXYYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
579,3,YYYYYYXyyyyyx,YYYXYYxx,True,366,26,True,101,25,true,352,28,true,312,33,true,437,35,true,130,29,true,192,32,true,291,28,true,377,31,true,456,35,true,139,26,true,155,25,true,186,27,true,225,27,true,388,27
580,4,YYYYYYXyyyyyx,YYYxxYYX,True,875,47,True,252,42,true,605,47,true,527,51,true,609,49,false,1000,,true,112,31,true,511,47,true,483,44,true,524,44,true,678,44,true,997,32,true,90,32,true,92,32,true,99,32
581,6,YYYYYYXyyyyyx,YYYYxxYX,False,1000,,True,385,99,false,1000,,false,1000,,false,1000,,true,784,115,true,496,101,false,1000,,false,1000,,false,1000,,true,894,119,true,700,115,true,555,97,true,552,97,true,573,97
583,7,YYYYYYXyyyyyx,YYXyxYYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
586,6,YYYYYYXyyyyyx,YYYYxYXX,False,1000,,True,388,99,false,1000,,false,1000,,false,1000,,true,784,115,true,498,101,false,1000,,false,1000,,false,1000,,true,897,119,true,700,115,true,564,97,true,561,97,true,582,97
589,4,YYYYYYXyyyyyx,YYYXYXYx,True,558,46,True,575,38,true,355,36,true,497,36,false,1000,,false,1000,,false,1000,,true,348,36,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
596,7,YYYYYYYXyyyyyyx,YYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
602,6,YYYYYYYXyyyyyyx,YYYxYXX,False,1000,,True,824,52,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
605,8,YYYYYYYXyyyyyyx,YYYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
606,5,YYYYYYYXyyyyyyx,YYYxxYYX,False,1000,,True,829,45,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,true,240,29,false,1000,,false,1000,
609,4,YYYYYYYXyyyyyyx,YYYxYxyX,False,1000,,True,821,45,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
610,8,YYYYYYYXyyyyyyx,YYYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
622,8,YYYYYYYYXyyyyyyyx,YYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
623,8,YYYYYYYYXyyyyyyyx,YYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
624,8,YYYYYYYYXyyyyyyyx,YYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
625,8,YYYYYYYYXyyyyyyyx,YYXYxyX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
628,7,YYYYYYYYXyyyyyyyx,YYXyXyyx,False,1000,,True,106,36,false,1000,,false,1000,,false,1000,,false,1000,,true,98,36,false,1000,,false,1000,,false,1000,,false,1000,,true,145,38,true,81,36,true,73,36,true,72,36
632,6,YYYYYYYYXyyyyyyyx,YYYYXXYx,False,1000,,True,831,57,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
633,7,YYYYYYYYXyyyyyyyx,YYXyyxyx,False,1000,,True,107,36,false,1000,,false,1000,,false,1000,,false,1000,,true,96,36,false,1000,,false,1000,,false,1000,,false,1000,,true,143,38,true,80,36,true,72,36,true,71,36
634,9,YYYYYYYXyyyyyyx,YYYXyyxx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
635,9,YYYYYYYXyyyyyyx,YYYXXyyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
636,9,YYYYYYYYXyyyyyyyx,YYYXYxyX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
637,9,YYYYYYYYXyyyyyyyx,YYYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
638,9,YYYYYYYYXyyyyyyyx,YYYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
639,9,YYYYYYYYXyyyyyyyx,YYYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
