pres_id,bin,aut_class,start_length,r1,r2,nodes_bestcov_b10k,nodes_greedy_b1M,nodes_stdcov_b1M,nodes_dualcov_b1M,nodes_hsearch_base_b100k,nodes_hsearch_reco_b100k,nodes_greedy_b10k,solved_bestcov_b10k,solved_greedy_b1M,solved_stdcov_b1M,solved_dualcov_b1M,solved_hsearch_base_b100k,solved_hsearch_reco_b100k,solved_greedy_b10k,best_z,best_cov_class,x_bestcov_greedy_b1M,x_bestcov_stdcov_b1M,x_bestcov_dualcov_b1M,x_bestcov_hsearch_base_b100k,x_bestcov_hsearch_reco_b100k,x_bestcov_greedy_b10k,nodes_bestcov_b20k,solved_bestcov_b20k,best_technique_is_oracle,best_technique,best_nodes
589,4,94,21,YYYYYYXyyyyyx,YYYXYXYx,13,558,33,211,558,575,558,True,True,True,True,True,True,True,xyyyyyy,relabel,42.92,2.54,16.23,42.92,44.23,42.92,13,True,True,bestcov_b10k,13
580,4,101,21,YYYYYYXyyyyyx,YYYxxYYX,25,875,56,448,875,252,875,True,True,True,True,True,True,True,Xyyyyy,relabel,35.0,2.24,17.92,35.0,10.08,35.0,25,True,True,bestcov_b10k,25
609,4,104,23,YYYYYYYXyyyyyyx,YYYxYxyX,37,1217,105,429,1217,821,1217,True,True,True,True,True,True,True,Xyyy,moved,32.89,2.84,11.59,32.89,22.19,32.89,37,True,True,bestcov_b10k,37
538,5,81,18,YYYYYXyyyyx,YYxYxYX,13,2261,28,255,2261,531,2261,True,True,True,True,True,True,True,Xyyy,relabel,173.92,2.15,19.62,173.92,40.85,173.92,13,True,True,bestcov_b10k,13
606,5,107,23,YYYYYYYXyyyyyyx,YYYxxYYX,17,2023,23,1028,2023,829,2023,True,True,True,True,True,True,True,Xyyyyy,relabel,119.0,1.35,60.47,119.0,48.76,119.0,17,True,True,bestcov_b10k,17
544,5,74,19,YYYYYXyyyyx,YYYxyXYx,117,1569,414,163,1569,160,1569,True,True,True,True,True,True,True,xYXy,relabel,13.41,3.54,1.39,13.41,1.37,13.41,117,True,True,bestcov_b10k,117
549,5,84,19,YYYYYXyyyyx,YYYxYxYX,226,1411,434,706,1411,137,1411,True,True,True,True,True,True,True,Xyyy,moved,6.24,1.92,3.12,6.24,0.61,6.24,226,True,False,hsearch_reco_b100k,137
543,5,88,19,YYYYYXyyyyx,YYYYXYxx,118,1813,444,1140,1813,160,1813,True,True,True,True,True,True,True,Xyx,relabel,15.36,3.76,9.66,15.36,1.36,15.36,118,True,True,bestcov_b10k,118
565,5,87,20,YYYYYYXyyyyyx,YYxyXYx,615,1404,5608,1130,1404,422,1404,True,True,True,True,True,True,True,xYXy,relabel,2.28,9.12,1.84,2.28,0.69,2.28,615,True,False,hsearch_reco_b100k,422
602,6,103,22,YYYYYYYXyyyyyyx,YYYxYXX,37,6285,120,1952,6285,824,6285,True,True,True,True,True,True,True,YYxyyyyyyy,relabel,169.86,3.24,52.76,169.86,22.27,169.86,37,True,True,bestcov_b10k,37
632,6,111,25,YYYYYYYYXyyyyyyyx,YYYYXXYx,39,6425,120,3733,6425,831,6425,True,True,True,True,True,True,True,YYxyyyyyyyy,relabel,164.74,3.08,95.72,164.74,21.31,164.74,39,True,True,bestcov_b10k,39
573,6,98,21,YYYYYYXyyyyyx,YYYYXYxx,3182,13393,137,2805,13393,7607,10000,True,True,True,True,True,True,False,Xyyy,relabel,4.21,0.04,0.88,4.21,2.39,,3182,True,True,stdcov_b1M,137
586,6,99,21,YYYYYYXyyyyyx,YYYYxYXX,616,9162,5555,2159,9162,388,9162,True,True,True,True,True,True,True,yyyyyx,relabel,14.87,9.02,3.5,14.87,0.63,14.87,616,True,False,hsearch_reco_b100k,388
581,6,99,21,YYYYYYXyyyyyx,YYYYxxYX,632,9567,5555,2162,9567,385,9567,True,True,True,True,True,True,True,Xyyyyy,relabel,15.14,8.79,3.42,15.14,0.61,15.14,632,True,False,hsearch_reco_b100k,385
575,6,87,21,YYYYYYXyyyyyx,YYYxyXYx,615,14383,5608,1130,14383,422,10000,True,True,True,True,True,True,False,xYXy,relabel,23.39,9.12,1.84,23.39,0.69,,615,True,False,hsearch_reco_b100k,422
568,7,93,20,YYYYYYXyyyyyx,YYXYXyx,3181,15814,103,1311,15814,7580,10000,True,True,True,True,True,True,False,XYxy,relabel,4.97,0.03,0.41,4.97,2.38,,3181,True,True,stdcov_b1M,103
578,7,93,21,YYYYYYXyyyyyx,YYXYYXyx,3181,15873,104,1233,15873,7581,10000,True,True,True,True,True,True,False,XYxy,relabel,4.99,0.03,0.39,4.99,2.38,,3181,True,True,stdcov_b1M,104
583,7,93,21,YYYYYYXyyyyyx,YYXyxYYx,3320,16111,104,1140,16111,7679,10000,True,True,True,True,True,True,False,XYxy,relabel,4.85,0.03,0.34,4.85,2.31,,3320,True,True,stdcov_b1M,104
628,7,110,25,YYYYYYYYXyyyyyyyx,YYXyXyyx,158,26774,2560,1987,26774,106,10000,True,True,True,True,True,True,False,YYYYYYYxyyyyyyy,relabel,169.46,16.2,12.58,169.46,0.67,,158,True,False,hsearch_reco_b100k,106
633,7,110,25,YYYYYYYYXyyyyyyyx,YYXyyxyx,158,26838,2526,1534,26838,107,10000,True,True,True,True,True,True,False,XYYxyy,relabel,169.86,15.99,9.71,169.86,0.68,,158,True,False,hsearch_reco_b100k,107
596,7,97,22,YYYYYYYXyyyyyyx,YYxyXYx,3353,16168,37189,6361,16168,8239,10000,True,True,True,True,True,True,False,xYXy,relabel,4.82,11.09,1.9,4.82,2.46,,3353,True,True,bestcov_b10k,3353
605,8,97,23,YYYYYYYXyyyyyyx,YYYXyxYX,3353,60593,37181,6341,60593,8241,10000,True,True,True,True,True,True,False,YYYxyyyyyyy,relabel,18.07,11.09,1.89,18.07,2.46,,3353,True,True,bestcov_b10k,3353
610,8,97,23,YYYYYYYXyyyyyyx,YYYxYXyx,3359,61366,37175,6345,61366,8230,10000,True,True,True,True,True,True,False,XYxy,relabel,18.27,11.07,1.89,18.27,2.45,,3359,True,True,bestcov_b10k,3359
625,8,106,24,YYYYYYYYXyyyyyyyx,YYXYxyX,,78770,178203,66237,78770,62511,10000,False,True,True,True,True,True,False,xyyyy,relabel,5.45,12.33,4.58,5.45,4.33,,14447,True,True,bestcov_b20k,14447
622,8,106,24,YYYYYYYYXyyyyyyyx,YYxyXYx,,78774,178205,67449,78774,62530,10000,False,True,True,True,True,True,False,xyX,relabel,5.44,12.32,4.66,5.44,4.32,,14469,True,True,bestcov_b20k,14469
624,8,106,24,YYYYYYYYXyyyyyyyx,YYxYXyx,,59971,178197,67370,59971,62509,10000,False,True,True,True,True,True,False,Xy,moved,4.17,12.39,4.68,4.17,4.35,,14385,True,True,bestcov_b20k,14385
