pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,eq_a1_solved,eq_a1_nodes,eq_a1_path,eq_a2_solved,eq_a2_nodes,eq_a2_path,eq_a3_solved,eq_a3_nodes,eq_a3_path,eq_a4_solved,eq_a4_nodes,eq_a4_path,eq_a5_solved,eq_a5_nodes,eq_a5_path,eq_a6_solved,eq_a6_nodes,eq_a6_path,eq_a8_solved,eq_a8_nodes,eq_a8_path,eq_a10_solved,eq_a10_nodes,eq_a10_path,eq_a15_solved,eq_a15_nodes,eq_a15_path,eq_a20_solved,eq_a20_nodes,eq_a20_path,eq_a28_solved,eq_a28_nodes,eq_a28_path,eq_a40_solved,eq_a40_nodes,eq_a40_path
544,5,YYYYYXyyyyx,YYYxyXYx,False,1000,,True,160,48,true,968,77,false,1000,,true,729,66,true,394,56,true,220,56,true,197,54,true,173,52,true,162,52,true,128,40,true,191,40,true,313,40,true,531,40
546,4,YYYYYXyyyyx,YYXYYxYx,True,398,24,True,111,23,true,224,25,true,161,25,true,143,25,true,136,25,true,145,31,true,135,31,true,140,31,true,80,23,true,61,23,true,67,23,true,92,25,true,103,25
548,4,YYYYYXyyyyx,YYxYYxyX,True,661,28,True,496,34,true,562,28,true,819,39,true,575,39,true,465,38,true,501,50,true,449,45,true,448,34,true,365,34,true,354,34,true,295,20,true,583,20,true,909,20
549,5,YYYYYXyyyyx,YYYxYxYX,False,1000,,True,137,47,true,942,78,true,547,75,true,426,68,true,226,55,true,195,55,true,172,53,true,158,51,true,123,51,true,100,47,true,190,47,true,312,47,true,530,47
565,5,YYYYYYXyyyyyx,YYxyXYx,False,1000,,True,422,99,false,1000,,false,1000,,false,1000,,false,1000,,true,994,111,true,778,107,true,461,105,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
568,7,YYYYYYXyyyyyx,YYXYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
573,6,YYYYYYXyyyyyx,YYYYXYxx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
575,6,YYYYYYXyyyyyx,YYYxyXYx,False,1000,,True,422,102,false,1000,,false,1000,,false,1000,,false,1000,,true,994,114,true,778,110,true,461,108,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
578,7,YYYYYYXyyyyyx,YYXYYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
579,3,YYYYYYXyyyyyx,YYYXYYxx,True,366,26,True,101,25,true,212,28,true,164,28,true,137,28,true,132,28,true,146,34,true,133,34,true,139,34,true,79,26,true,62,25,true,68,25,true,89,27,true,100,27
580,4,YYYYYYXyyyyyx,YYYxxYYX,True,875,47,True,252,42,true,460,47,true,331,46,true,272,40,true,219,38,true,188,42,true,185,42,true,190,42,true,200,42,true,69,32,true,57,32,true,113,32,true,274,32
581,6,YYYYYYXyyyyyx,YYYYxxYX,False,1000,,True,385,99,false,1000,,false,1000,,false,1000,,true,865,115,true,652,111,true,488,107,true,416,105,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
583,7,YYYYYYXyyyyyx,YYXyxYYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
586,6,YYYYYYXyyyyyx,YYYYxYXX,False,1000,,True,388,99,false,1000,,false,1000,,false,1000,,true,870,115,true,657,111,true,491,107,true,419,105,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
589,4,YYYYYYXyyyyyx,YYYXYXYx,True,558,46,True,575,38,true,302,36,true,305,36,true,883,43,true,691,42,true,672,54,true,583,49,true,545,38,true,418,38,true,384,38,true,327,33,true,587,27,true,913,27
596,7,YYYYYYYXyyyyyyx,YYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
602,6,YYYYYYYXyyyyyyx,YYYxYXX,False,1000,,True,824,52,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,true,745,43,true,485,41,true,425,41,true,327,35,true,329,35
605,8,YYYYYYYXyyyyyyx,YYYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
606,5,YYYYYYYXyyyyyyx,YYYxxYYX,False,1000,,True,829,45,false,1000,,false,1000,,true,667,49,true,539,49,true,478,53,true,394,51,false,1000,,true,916,50,true,582,43,true,413,46,true,177,29,true,910,41
609,4,YYYYYYYXyyyyyyx,YYYxYxyX,False,1000,,True,821,45,true,962,62,true,761,43,true,875,42,true,970,42,false,1000,,false,1000,,false,1000,,true,740,36,true,480,34,true,420,34,true,327,28,true,328,28
610,8,YYYYYYYXyyyyyyx,YYYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
622,8,YYYYYYYYXyyyyyyyx,YYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
623,8,YYYYYYYYXyyyyyyyx,YYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
624,8,YYYYYYYYXyyyyyyyx,YYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
625,8,YYYYYYYYXyyyyyyyx,YYXYxyX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
628,7,YYYYYYYYXyyyyyyyx,YYXyXyyx,False,1000,,True,106,36,false,1000,,false,1000,,false,1000,,false,1000,,true,830,44,true,496,42,true,297,40,true,138,40,true,153,36,true,466,36,true,720,36,true,959,36
632,6,YYYYYYYYXyyyyyyyx,YYYYXXYx,False,1000,,True,831,57,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,true,750,49,true,491,47,true,432,46,true,329,40,true,331,40
633,7,YYYYYYYYXyyyyyyyx,YYXyyxyx,False,1000,,True,107,36,false,1000,,false,1000,,false,1000,,false,1000,,true,830,44,true,496,42,true,297,40,true,138,40,true,154,36,true,467,36,true,721,36,true,960,36
634,9,YYYYYYYXyyyyyyx,YYYXyyxx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
635,9,YYYYYYYXyyyyyyx,YYYXXyyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
636,9,YYYYYYYYXyyyyyyyx,YYYXYxyX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
637,9,YYYYYYYYXyyyyyyyx,YYYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
638,9,YYYYYYYYXyyyyyyyx,YYYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
639,9,YYYYYYYYXyyyyyyyx,YYYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
