pres_id,bin,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,s_w2_solved,s_w2_nodes,s_w2_path,s_w4_solved,s_w4_nodes,s_w4_path,s_w8_458_solved,s_w8_458_nodes,s_w8_458_path,s_w12_solved,s_w12_nodes,s_w12_path,s_w16_solved,s_w16_nodes,s_w16_path,s_w20_solved,s_w20_nodes,s_w20_path,s_w24_solved,s_w24_nodes,s_w24_path,s_w32_solved,s_w32_nodes,s_w32_path
579,3,YYYYYYXyyyyyx,YYYXYYxx,True,366,26,True,101,25,true,229,26,true,168,26,true,102,26,true,125,36,true,118,36,true,79,21,true,86,21,true,67,18
580,4,YYYYYYXyyyyyx,YYYxxYYX,True,875,47,True,252,42,true,536,47,true,477,47,true,399,52,true,316,50,true,288,50,true,291,50,true,279,48,true,271,48
581,6,YYYYYYXyyyyyx,YYYYxxYX,False,1000,,True,385,99,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
583,7,YYYYYYXyyyyyx,YYXyxYYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
586,6,YYYYYYXyyyyyx,YYYYxYXX,False,1000,,True,388,99,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
589,4,YYYYYYXyyyyyx,YYYXYXYx,True,558,46,True,575,38,true,368,34,true,303,34,true,222,32,true,194,32,true,159,32,true,146,32,true,141,32,true,132,32
596,7,YYYYYYYXyyyyyyx,YYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
602,6,YYYYYYYXyyyyyyx,YYYxYXX,False,1000,,True,824,52,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,true,976,64,true,815,64
605,8,YYYYYYYXyyyyyyx,YYYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
606,5,YYYYYYYXyyyyyyx,YYYxxYYX,False,1000,,True,829,45,false,1000,,false,1000,,true,778,36,true,574,36,true,515,34,true,440,34,true,416,34,true,182,48
609,4,YYYYYYYXyyyyyyx,YYYxYxyX,False,1000,,True,821,45,true,617,45,true,533,45,true,398,46,true,321,44,true,304,44,true,290,44,true,299,46,true,214,46
610,8,YYYYYYYXyyyyyyx,YYYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
622,8,YYYYYYYYXyyyyyyyx,YYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
623,8,YYYYYYYYXyyyyyyyx,YYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
624,8,YYYYYYYYXyyyyyyyx,YYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
625,8,YYYYYYYYXyyyyyyyx,YYXYxyX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
628,7,YYYYYYYYXyyyyyyyx,YYXyXyyx,False,1000,,True,106,36,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
632,6,YYYYYYYYXyyyyyyyx,YYYYXXYx,False,1000,,True,831,57,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,true,920,66,true,899,65,false,1000,
633,7,YYYYYYYYXyyyyyyyx,YYXyyxyx,False,1000,,True,107,36,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
634,9,YYYYYYYXyyyyyyx,YYYXyyxx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
635,9,YYYYYYYXyyyyyyx,YYYXXyyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,true,998,67
636,9,YYYYYYYYXyyyyyyyx,YYYXYxyX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
637,9,YYYYYYYYXyyyyyyyx,YYYXyxYX,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
638,9,YYYYYYYYXyyyyyyyx,YYYxyXYx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
639,9,YYYYYYYYXyyyyyyyx,YYYxYXyx,False,1000,,False,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,,false,1000,
