name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_55532,YXXYx,YYYXYXXyxYXXYx,1,103531,16,2
ac19_55533,YXYXX,YYYXXYxyyXXyxx,1,103542,29,2
ac19_55534,YXXYx,YYYYXYXXYYxyyX,2,103545 128785,8,2
ac19_55535,YXYXYx,YYXYXyyXyxYxx,1,103552,42,2
ac19_55537,YYYXXXX,YYYxxyyXXyyx,1,103554,17,2
ac19_55539,YYXXyx,YYXXXXyyxxx,2,103558 109576,11,2
ac19_55540,YYXXYx,YYYYXYxxyXX,1,103559,30,2
ac19_55543,YYXXXYx,YYYYXXXYXYYX,1,103564,9,2
ac19_55545,YXYXYx,YYYYYXyyXyyxx,2,103572 112167,44,2
ac19_55546,YYYYXXyyX,YYxxyXXXX,1,103573,29,2
ac19_55547,YXYXX,YYYxYXXXyXyyxx,1,103576,47,2
ac19_55548,YYXXXYX,YYXyyxxyyXYx,1,103581,32,2
ac19_55549,YYXXXyxxx,YYXXXyxYYx,1,103583,8,2
ac19_55550,YXYXX,YYYYYXXXXXyxyX,1,103584,20,2
ac19_55551,YYXXX,YYXyXXXyxxxyxx,1,103590,7,2
ac19_55552,YXXYx,YYXYYXyXXYxyxx,1,103592,47,2
ac19_55553,YXXYx,YYYXXXYxYXXYYx,1,103593,11,2
ac19_55555,YXYxyx,YYXXyxYXXyyxx,1,103597,70,2
ac19_55557,YXX,YYXyyXyXYxxYxyx,1,103603,10,2
ac19_55558,YXYXyx,YYXyxYxyXyyxx,1,103605,48,2
ac19_55565,YYXXXXyx,YYXYYXyXyyx,1,103627,28,2
ac19_55567,YYXXX,YYXyxxyXYxyXyx,1,103634,11,2
ac19_55571,YXXYxxyx,YYYxxYxxx,3,103643 137475 155413,164,2
ac19_55572,YXYxyx,YYXyxxYYxyxYx,1,103645,12,2
ac19_55578,YXXyXyx,YYxYxxyxxyXX,2,103659 151491,13,2
ac19_55579,YXXYx,YYYYXXXYYxxYXX,1,103662,11,2
ac19_55582,YYXXXyX,YYYXXXXXyXX,1,103675,46,2
ac19_55583,YXYXYx,YYYxxxyXXXXyx,1,103678,47,2
ac19_55585,YYXXXYx,YYYYXXyxYYXX,1,103684,22,2
ac19_55586,YXXYxxyx,YYXXXXyxxxx,1,103688,57,2
ac19_55587,YXXYx,YYXYXXXyxYxyyx,1,103690,18,2
ac19_55591,YXXYx,YYYXXyyxyxxyX,3,103700 120561 152845,41,2
ac19_55592,YXXYx,YYXyXyXYxxyyx,2,103701 153953,17,2
ac19_55594,YXYXyx,YYYYYXyxyyXXyxx,1,103704,187,2
ac19_55597,YYXXXyx,YYXYxyyXXyx,1,103709,9,2
ac19_55598,YYXXyx,YYXXXXYxxyXYx,1,103710,12,2
ac19_55599,YXX,YYYXyxYYXyyXyx,2,103713 149309,11,2
ac19_55600,YXyXXXyX,YYXXyxYxyxyXX,1,103722,19,2
ac19_55602,YYXXXyxx,YYXyyxyxyxx,1,103725,10,2
ac19_55603,YXXYx,YYXXXXyxYxyx,2,103727 118078,16,2
ac19_55605,YYXYXXXyX,YYXXyyxYXX,1,103734,16,2
ac19_55608,YXYXX,YYYXXXYYxyXXyX,1,103741,17,2
ac19_55612,YYXYxxyXyX,YYYXyXYYXyX,1,103758,22,2
ac19_55613,YXYXX,YYYXyXyxxyyxx,1,103759,12,2
ac19_55614,YXX,YYXyXXYXyXyxYYx,1,103760,7,2
ac19_55615,YYXXXyxx,YYXXXYxxYXX,1,103761,240,2
ac19_55617,YXX,YYYXyXyyXyxxYxx,1,103770,9,2
ac19_55619,YYXXX,YYXyyXYXXyxYx,1,103776,12,2
ac19_55621,YXYXyx,YYYXXXYYxYXyX,2,103781 132895,34,2
ac19_55623,YXyXXXyX,YYXyXYxxyxxyX,1,103789,49,2
ac19_55627,YXXyXYx,YYYXyyxyXyxx,1,103795,18,2
ac19_55629,YYXXXYxx,YYxxYXyxyXX,1,103801,61,2
ac19_55630,YXXXyxx,YYXXyyXXXyXX,1,103802,19,2
ac19_55632,YYXXXyx,YYYYXXXyXyyx,1,103808,8,2
ac19_55634,YYXXXXyxx,YYxYXXyyXX,1,103812,82,2
ac19_55635,YYXXX,YYYXXyxxxyxyyX,1,103817,8,2
ac19_55636,YYXXYx,YYXYXXYYxYXYx,1,103818,9,2
ac19_55637,YYXXXYX,YYXXXyyXYxxx,1,103825,320,2
ac19_55640,YYXXXYx,YYXYXYYXyXYx,1,103834,19,2
ac19_55641,YXYxxYXyx,YYxxxYXYxyX,1,103840,20,2
ac19_55643,YYXXXyx,YYXyyxYXXyx,1,103844,7,2
ac19_55644,YXXXXyxYx,YXXYXXXXXXYx,1,103847,90,2
ac19_55648,YYXXYx,YYYxxxyyXyyXX,1,103863,20,2
ac19_55649,YYXXX,YYXyXyxYYXXyxx,1,103864,11,2
ac19_55650,YXXYx,YYYYYXYxYYXXyX,1,103866,9,2
ac19_55656,YXYXyx,YYXXyXYXXYxYx,2,103889 129588,222,2
ac19_55657,YXYXyx,YYXyXXXYYxYXX,1,103892,19,2
ac19_55658,YYXXX,YYYYXXYXYXXXyX,1,103893,9,2
ac19_55659,YYXXX,YYYYXXXXyXYYXX,1,103894,7,2
ac19_55662,YYXXyxx,YYYXXYXyyyxx,1,103903,11,2
ac19_55663,YYXXX,YYYXYYXyyyXyxx,1,103904,13,2
ac19_55664,YXXYx,YYXXXyxxxYxyXX,1,103906,11,2
ac19_55666,YXXYx,YYYYXXYXyxxxyX,1,103915,18,2
ac19_55668,YYXXyXXYx,YXXyxxxyx,3,103919 119554 149732,15,2
ac19_55670,YXXXX,YYYXXyyxyyxYX,1,103926,21,2
ac19_55671,YYXXYx,YYYYYYxyyXX,3,103927 115750 134135,24,2
ac19_55672,YYXXX,YYYXyxyxyXyxx,2,103929 116906,214,2
ac19_55673,YXXXYxx,YYXXyXXYxxyx,1,103936,30,2
ac19_55674,YYXXyxxyx,YXyXYXyXyX,2,103938 138393,18,2
ac19_55675,YYXXXXyx,YYXyXYxxyyx,1,103943,11,2
ac19_55676,YYXXXYxx,YYXyXXyyxxx,1,103944,219,2
ac19_55677,YYXXYXX,YYXyXYXXyXYxx,1,103946,15,2
ac19_55678,YXXX,YYYXYxyyXyxyx,1,103947,13,2
