orbit_id,parent_class
orb_0104,sol_077
orb_0105,sol_082
orb_0106,sol_083
orb_0107,sol_081
orb_0108,sol_080
orb_0109,sol_090
orb_0110,sol_091
orb_0111,sol_090
orb_0112,sol_091
orb_0113,sol_091
orb_0114,sol_090
orb_0115,sol_090
orb_0116,sol_009
orb_0116,sol_023
orb_0116,sol_038
orb_0116,sol_091
orb_0116,sol_101
orb_0116,sol_111
orb_0117,sol_040
orb_0117,sol_045
orb_0118,sol_042
orb_0118,sol_057
orb_0118,sol_062
orb_0118,sol_065
orb_0119,sol_038
orb_0120,sol_041
orb_0121,sol_088
orb_0121,sol_089
orb_0122,sol_040
orb_0122,sol_045
orb_0123,sol_020
orb_0123,sol_047
orb_0123,sol_061
orb_0123,sol_066
orb_0124,sol_046
orb_0125,sol_029
orb_0125,sol_050
orb_0125,sol_064
orb_0126,sol_024
orb_0126,sol_056
orb_0127,sol_026
orb_0128,aca_116
orb_0129,aca_117
orb_0130,sol_068
orb_0130,sol_097
orb_0131,sol_059
orb_0131,sol_106
orb_0132,sol_106
orb_0133,sol_042
orb_0133,sol_057
orb_0133,sol_058
orb_0134,sol_008
orb_0134,sol_057
orb_0134,sol_058
orb_0135,sol_059
orb_0136,sol_060
orb_0137,sol_047
orb_0137,sol_061
orb_0138,sol_008
orb_0138,sol_042
orb_0138,sol_062
orb_0139,aca_10
orb_0140,aca_12
orb_0141,sol_063
orb_0142,sol_050
orb_0142,sol_064
orb_0143,aca_9
orb_0144,aca_11
orb_0145,sol_065
orb_0146,sol_066
orb_0147,sol_066
orb_0148,sol_077
orb_0149,sol_021
orb_0149,sol_026
orb_0149,sol_081
orb_0150,sol_009
orb_0150,sol_023
orb_0151,sol_020
orb_0152,sol_027
orb_0153,aca_14
orb_0154,sol_088
orb_0155,sol_083
orb_0156,sol_080
orb_0157,sol_009
orb_0157,sol_038
orb_0158,sol_010
orb_0159,sol_097
orb_0160,aca_118
orb_0161,sol_088
orb_0162,sol_022
orb_0163,aca_8
orb_0164,sol_094
orb_0165,sol_100
orb_0166,sol_080
orb_0167,sol_042
orb_0167,sol_065
orb_0168,sol_038
orb_0168,sol_101
orb_0169,sol_047
orb_0169,sol_066
orb_0170,aca_8
orb_0171,sol_077
orb_0172,sol_023
orb_0173,sol_021
orb_0173,sol_026
orb_0173,sol_055
orb_0174,sol_023
orb_0175,sol_021
orb_0176,sol_009
orb_0176,sol_023
orb_0176,sol_111
orb_0177,sol_077
orb_0178,sol_081
orb_0179,sol_021
orb_0179,sol_026
orb_0179,sol_048
orb_0179,sol_055
orb_0180,sol_076
orb_0181,sol_082
orb_0182,sol_076
orb_0183,sol_024
orb_0184,sol_027
orb_0185,sol_083
orb_0186,sol_075
orb_0187,aca_1
orb_0188,sol_054
orb_0188,sol_110
orb_0189,sol_005
orb_0190,sol_006
orb_0191,sol_061
orb_0192,aca_120
orb_0193,sol_061
orb_0194,sol_020
orb_0195,sol_063
