order,pres_id,name,bin,start_length,arm,arm_label,config,budget,mrl,solved,nodes_explored,path_length,derived,source,source_budget,in_all_three_solved
55,635,ms635,9,23,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
55,635,ms635,9,23,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
55,635,ms635,9,23,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
56,637,ms637,9,25,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
56,637,ms637,9,25,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
56,637,ms637,9,25,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
57,639,ms639,9,25,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
57,639,ms639,9,25,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
57,639,ms639,9,25,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
58,638,ms638,9,25,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
58,638,ms638,9,25,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
58,638,ms638,9,25,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
59,636,ms636,9,25,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
59,636,ms636,9,25,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
59,636,ms636,9,25,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
