name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_34421,YXYXyx,YYYXXyXXyxxxx,2,52677 110587,851,2
ac19_34632,YXYXyx,YYYXyXXyXYYxx,1,53073,965,2
ac19_34762,YYXXyxx,YYYYYYYYxYXX,1,53339,600,2
ac19_34921,YXyXXXyX,YYxYxxyxxyx,1,53657,636,2
ac19_35195,YXXYx,YYYYXXyxYYYXYX,1,54204,975,2
ac19_35246,YXYXyx,YYXXXyXXYXYYx,2,54303 153583,657,2
ac19_35617,YXXXXyXyx,YYYxyxxxyX,1,55064,678,2
ac19_35659,YXYXyx,YYYYXYYYXXXXX,2,55179 117650,546,2
ac19_35829,YXYXyx,YYYXXXXyyxyxx,2,55540 56255,522,2
ac19_35957,YXyXXyx,YYxxYXXyyxyxYX,2,55801 119998,747,2
ac19_36074,YXyXYxx,YYXYxxyXXYXYx,2,56026 104479,664,2
ac19_36078,YXYXyx,YYXYxYYXyyXXX,2,56032 63169,857,2
ac19_36218,YXyXXXXyx,YYXyXXYxyyx,2,56358 151507,621,2
ac19_36267,YXYXyx,YYYXYxyXXyXyxxx,1,56450,763,2
ac19_36372,YXXYx,YYYYXXyyxyxyyx,1,56656,985,2
ac19_36636,YXXyxYXXyxx,YYXXyxYxyXYXyX,1,57187,515,2
ac19_36692,YXYXyx,YYYYXYxyyXXXX,2,57281 94911,648,2
ac19_36707,YXyXXXyx,YYXXXXyXyyx,2,57315 90981,744,2
ac19_36783,YXYXyx,YYXyyXXYXYxYx,1,57478,798,2
ac19_36838,YXyXXyx,YYXyXyxYxxyyxYX,2,57605 111040,710,2
ac19_37019,YXYXyx,YYXXYxYYxYXyXyX,2,57998 69618,741,2
ac19_37062,YXYXyx,YYXXXXXyXYYxx,2,58087 91451,608,2
ac19_37451,YXyXYxx,YYYxYXYXyXXyxyx,1,58943,686,2
ac19_37986,YXYXyx,YYXXXXXXYYx,4,60090 75394 151146 155492,596,2
ac19_38384,YXYXyx,YYYYXXXXXXYxx,1,60916,767,2
ac19_38401,YXXYx,YYXYYXyyXXYxxx,1,60956,609,2
ac19_38434,YXyXXyx,YYxyxxxxxYX,4,61015 70219 80971 122976,670,2
ac19_38595,YXYxxyXyx,YYYXXyyxYXXyx,1,61371,889,2
ac19_38638,YXYXyx,YYxYxYXyyXXYX,2,61450 94372,593,2
ac19_38820,YXYXyx,YYYYYXyXyxyXyxx,1,61807,862,2
ac19_38942,YXYXyx,YYYXyXyyyxYxx,2,62074 119994,658,2
ac19_38973,YXXyxYXXyxx,YYXyXXYxxyXX,2,62139 154562,607,2
ac19_39022,YXXYxxyx,YYXYXyyxx,2,62251 130375,899,2
ac19_39208,YXYXyx,YYYxxYXyxyXXyyX,1,62654,703,2
