name,arm,solved,nodes_explored,path_length,budget,max_relator_length
ac19_10125,greedy,1,12,10,10000,48
ac19_10126,greedy,1,284,26,10000,48
ac19_10127,greedy,1,10,9,10000,48
ac19_10128,greedy,1,93,32,10000,48
ac19_10129,greedy,0,10000,,10000,48
ac19_1013,greedy,1,23,15,10000,48
ac19_10130,greedy,1,6,5,10000,48
ac19_10131,greedy,1,31,19,10000,48
ac19_10132,greedy,1,289,17,10000,48
ac19_10133,greedy,1,17,12,10000,48
ac19_10134,greedy,1,6,5,10000,48
ac19_10135,greedy,1,12,11,10000,48
ac19_10136,greedy,1,5,4,10000,48
ac19_10137,greedy,1,7,6,10000,48
ac19_10138,greedy,1,38,8,10000,48
ac19_10139,greedy,1,32,20,10000,48
ac19_1014,greedy,1,6,5,10000,48
ac19_10140,greedy,1,5,4,10000,48
ac19_10141,greedy,1,17,8,10000,48
ac19_10142,greedy,1,11,10,10000,48
ac19_10143,greedy,1,33,20,10000,48
ac19_10144,greedy,1,7,6,10000,48
ac19_10145,greedy,1,19,14,10000,48
ac19_10146,greedy,1,88,39,10000,48
ac19_10147,greedy,1,59,24,10000,48
ac19_10148,greedy,1,61,10,10000,48
ac19_10149,greedy,1,12,11,10000,48
ac19_1015,greedy,1,9,8,10000,48
ac19_10150,greedy,1,8,7,10000,48
ac19_10151,greedy,1,7,6,10000,48
ac19_10152,greedy,1,12,11,10000,48
ac19_10153,greedy,1,24,17,10000,48
ac19_10154,greedy,1,13,11,10000,48
ac19_10155,greedy,1,16,14,10000,48
ac19_10156,greedy,1,6,5,10000,48
ac19_10157,greedy,1,12,11,10000,48
ac19_10158,greedy,1,10,9,10000,48
ac19_10159,greedy,1,3745,14,10000,48
ac19_1016,greedy,1,1366,60,10000,48
ac19_10160,greedy,1,6,5,10000,48
ac19_10161,greedy,1,80,25,10000,48
ac19_10162,greedy,1,116,13,10000,48
ac19_10163,greedy,1,9,8,10000,48
ac19_10164,greedy,1,9,8,10000,48
ac19_10165,greedy,1,57,13,10000,48
ac19_10166,greedy,1,10,9,10000,48
ac19_10167,greedy,1,1938,8,10000,48
ac19_10168,greedy,1,13,11,10000,48
ac19_10169,greedy,1,12,11,10000,48
ac19_1017,greedy,1,5,4,10000,48
ac19_10170,greedy,1,256,10,10000,48
ac19_10171,greedy,1,22,10,10000,48
ac19_10172,greedy,1,260,11,10000,48
ac19_10173,greedy,1,7,6,10000,48
ac19_10174,greedy,1,9,8,10000,48
