name,kind,mu,short_relator,bin,bin_lo_nodes,bin_hi_nodes,baseline_nodes,baseline_solved,baseline_censored_at_100k,baseline_path,s12_solved,s12_nodes,s12_path,s28_solved,s28_nodes,s28_path,s20_mk2_solved,s20_mk2_nodes,s20_mk2_path,s24_k1_mk2_solved,s24_k1_mk2_nodes,s24_k1_mk2_path,difficulty_rank
orb_0032,seed,12,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,54
orb_0039,moved_cov,13,True,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,55
orb_0098,moved_cov,14,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,56
orb_0107,moved_cov,14,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,57
orb_0117,seed,14,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,58
orb_0124,moved_cov,14,False,0,3,10,6,True,False,5,True,7,6,True,7,6,True,6,5,True,6,5,59
orb_0215,seed,16,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,60
orb_0283,seed,17,False,0,3,10,6,True,False,5,True,5,4,True,5,4,True,5,4,True,5,4,61
orb_0299,seed,17,False,0,3,10,6,True,False,5,True,5,4,True,5,4,True,5,4,True,5,4,62
orb_0338,moved_cov,18,False,0,3,10,6,True,False,5,True,6,5,True,6,5,True,6,5,True,6,5,63
orb_0024,seed,11,False,0,3,10,7,True,False,6,True,9,8,True,9,8,True,9,8,True,9,8,64
orb_0026,moved_cov,12,True,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,65
orb_0055,seed,13,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,66
orb_0058,seed,13,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,67
orb_0067,seed,13,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,68
orb_0135,seed,15,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,69
orb_0239,moved_cov,17,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,70
orb_0281,seed,17,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,71
orb_0399,moved_cov,19,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,72
orb_0450,seed,19,False,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,73
orb_0489,moved_cov,20,True,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,7,6,74
orb_0654,moved_cov,22,True,0,3,10,7,True,False,6,True,7,6,True,7,6,True,7,6,True,11,10,75
orb_0950,moved_cov,26,True,0,3,10,7,True,False,6,True,7,6,True,7,6,True,13,12,True,13,12,76
orb_0030,seed,12,False,0,3,10,8,True,False,7,True,8,7,True,8,7,True,8,7,True,8,7,77
orb_0045,moved_cov,13,False,0,3,10,8,True,False,6,True,9,7,True,9,7,True,9,7,True,9,7,78
orb_0077,moved_cov,13,False,0,3,10,8,True,False,7,True,8,7,True,21,7,True,8,7,True,8,7,79
orb_0080,seed,13,False,0,3,10,8,True,False,7,True,7,6,True,7,6,True,7,6,True,7,6,80
orb_0095,moved_cov,14,False,0,3,10,8,True,False,7,True,8,7,True,8,7,True,8,7,True,8,7,81
orb_0103,moved_cov,14,False,0,3,10,8,True,False,7,True,8,7,True,8,7,True,8,7,True,8,7,82
orb_0165,moved_cov,15,False,0,3,10,8,True,False,6,True,8,7,True,8,7,True,8,7,True,8,7,83
orb_0207,moved_cov,16,False,0,3,10,8,True,False,7,True,12,11,True,12,11,True,8,7,True,8,7,84
orb_0267,moved_cov,17,False,0,3,10,8,True,False,6,True,13,10,True,18,11,True,13,11,True,12,10,85
orb_0345,moved_cov,18,False,0,3,10,8,True,False,7,True,8,7,True,8,7,True,8,7,True,8,7,86
orb_0655,moved_cov,22,False,0,3,10,8,True,False,7,True,8,7,True,8,7,True,8,7,True,8,7,87
orb_0020,moved_cov,11,False,0,3,10,9,True,False,6,True,9,6,True,10,9,True,9,6,True,9,6,88
orb_0051,seed,13,False,0,3,10,9,True,False,8,True,9,8,True,9,8,True,9,8,True,9,8,89
orb_0060,seed,13,False,0,3,10,9,True,False,8,True,9,8,True,9,8,True,9,8,True,9,8,90
orb_0086,moved_cov,13,False,0,3,10,9,True,False,7,True,8,7,True,9,8,True,8,7,True,8,7,91
orb_0132,moved_cov,15,False,0,3,10,9,True,False,8,True,9,7,True,9,7,True,8,7,True,8,7,92
orb_0142,seed,15,False,0,3,10,9,True,False,8,True,9,8,True,9,8,True,9,8,True,9,8,93
orb_0197,moved_cov,16,False,0,3,10,9,True,False,8,True,8,7,True,8,7,True,8,7,True,8,7,94
orb_0214,seed,16,False,0,3,10,9,True,False,8,True,8,7,True,8,7,True,8,7,True,8,7,95
orb_0279,moved_cov,17,False,0,3,10,9,True,False,8,True,9,8,True,9,8,True,9,8,True,9,8,96
orb_0427,moved_cov,19,False,0,3,10,9,True,False,8,True,9,8,True,9,8,True,9,8,True,9,8,97
orb_0513,moved_cov,20,False,0,3,10,9,True,False,8,True,9,8,True,10,8,True,9,8,True,9,8,98
orb_1133,moved_cov,30,True,0,3,10,9,True,False,8,True,9,8,True,9,8,True,15,14,True,15,14,99
orb_0036,seed,12,False,1,10,34,10,True,False,9,True,10,9,True,27,11,True,10,9,True,10,9,100
orb_0127,moved_cov,14,False,1,10,34,10,True,False,8,True,10,8,True,10,8,True,10,8,True,10,8,101
orb_0188,moved_cov,15,False,1,10,34,10,True,False,8,True,14,11,True,24,11,True,17,11,True,19,11,102
orb_0195,moved_cov,16,False,1,10,34,10,True,False,9,True,10,9,True,10,9,True,10,9,True,10,9,103
orb_0208,moved_cov,16,False,1,10,34,10,True,False,9,True,10,9,True,10,9,True,10,9,True,10,9,104
orb_0220,seed,16,False,1,10,34,10,True,False,8,True,10,9,True,28,14,True,12,11,True,13,11,105
orb_0295,seed,17,False,1,10,34,10,True,False,9,True,9,8,True,9,8,True,9,8,True,9,8,106
orb_0339,moved_cov,18,False,1,10,34,10,True,False,9,True,11,9,True,15,13,True,10,9,True,10,9,107
orb_0350,moved_cov,18,False,1,10,34,10,True,False,9,True,10,9,True,10,9,True,10,9,True,10,9,108
orb_0540,moved_cov,21,False,1,10,34,10,True,False,9,True,9,8,True,9,8,True,9,8,True,9,8,109
orb_0685,moved_cov,22,False,1,10,34,10,True,False,7,True,9,7,True,8,7,True,9,7,True,10,7,110
orb_0066,seed,13,False,1,10,34,11,True,False,10,True,13,10,True,15,12,True,13,10,True,13,10,111
orb_0075,moved_cov,13,False,1,10,34,11,True,False,9,True,18,9,True,29,10,True,18,9,True,12,9,112
orb_0141,seed,15,False,1,10,34,11,True,False,10,True,11,10,True,11,10,True,11,10,True,11,10,113
orb_0155,moved_cov,15,False,1,10,34,11,True,False,10,True,11,10,True,11,10,True,11,10,True,11,10,114
orb_0159,moved_cov,15,False,1,10,34,11,True,False,9,True,10,9,True,10,9,True,10,9,True,10,9,115
orb_0179,seed,15,False,1,10,34,11,True,False,8,True,9,8,True,11,10,True,11,10,True,12,10,116
orb_0186,moved_cov,15,False,1,10,34,11,True,False,9,True,9,8,True,9,8,True,9,8,True,9,8,117
orb_0361,seed,18,False,1,10,34,11,True,False,9,True,15,12,True,47,18,True,19,14,True,23,14,118
orb_0462,seed,19,False,1,10,34,11,True,False,9,True,16,12,True,25,13,True,20,13,True,23,13,119
orb_0495,moved_cov,20,False,1,10,34,11,True,False,10,True,10,9,True,10,9,True,10,9,True,10,9,120
orb_0954,moved_cov,26,False,1,10,34,11,True,False,10,True,10,9,True,10,9,True,10,9,True,10,9,121
orb_0053,seed,13,False,1,10,34,12,True,False,10,True,11,10,True,11,10,True,11,10,True,11,10,122
orb_0183,moved_cov,15,False,1,10,34,12,True,False,9,True,15,10,True,14,9,True,12,9,True,12,9,123
orb_0196,moved_cov,16,False,1,10,34,12,True,False,11,True,12,11,True,12,11,True,12,11,True,12,11,124
